fråga;källa;år
Fila vs Lacoste;Fila grundat 1911 (en.wikipedia.org/wiki/Fila); Lacoste grundat 1933 (en.wikipedia.org/wiki/Lacoste);2026
Quiksilver vs Billabong;Quiksilver grundat 1969 (en.wikipedia.org/wiki/Quiksilver); Billabong grundat 1973 (en.wikipedia.org/wiki/Billabong);2026
Dove vs Lux;Dove lanserat 1957 (en.wikipedia.org/wiki/Dove_(Unilever_brand)); Lux grundat 1899 (en.wikipedia.org/wiki/Lux_(soap));2026
Huggies vs Pampers;Huggies lanserat 1978 = 48 år, korr fr 49 (en.wikipedia.org/wiki/Huggies); Pampers lanserat 1961 (en.wikipedia.org/wiki/Pampers);2026
Charmin vs Scott;Charmin grundat 1928 (en.wikipedia.org/wiki/Charmin); Scott Paper grundat 1879 (encyclopedia.com Scott Paper Company);2026
Whole Foods vs Trader Joe's;Whole Foods Market grundat 1980 (en.wikipedia.org/wiki/Whole_Foods_Market); Trader Joe's grundat 1967 (en.wikipedia.org/wiki/Trader_Joe's);2026
J.Crew vs Ecco;J.Crew grundat 1983 (en.wikipedia.org/wiki/J.Crew); Ecco grundat 1963 (en.wikipedia.org/wiki/ECCO);2026
Mango vs Dick's Sporting Goods;Mango grundat 1984 (en.wikipedia.org/wiki/Mango_(retailer)); Dick's Sporting Goods grundat 1948 (en.wikipedia.org/wiki/Dick's_Sporting_Goods);2026
Pioneer vs Yamaha;Pioneer grundat jan 1938 (en.wikipedia.org/wiki/Pioneer_Corporation); Yamaha (Nippon Gakki) grundat 1887 (en.wikipedia.org/wiki/Yamaha_Corporation);2026
Ruffles vs Quaker;Ruffles varumärke 1948 (en.wikipedia.org/wiki/Ruffles_(potato_chips)); Quaker Oats grundat 1877 (en.wikipedia.org/wiki/Quaker_Oats_Company);2026
JCB vs Komatsu;JCB grundat okt 1945 (en.wikipedia.org/wiki/JCB_(heavy_equipment_manufacturer)); Komatsu Ltd grundat 13 maj 1921 = 105 år, korr fr 109/1917 (en.wikipedia.org/wiki/Komatsu_Limited);2026
Dillard's vs Anthropologie;Dillard's grundat 1938 (en.wikipedia.org/wiki/Dillard's); Anthropologie grundat 1992 (en.wikipedia.org/wiki/Anthropologie);2026
Vans vs Birkenstock;Vans grundat 1966 (en.wikipedia.org/wiki/Vans); Birkenstock anor till 1774 (birkenstock-group.com/history);2026
Clarks vs Benefit;Clarks grundat 1825 (en.wikipedia.org/wiki/Clarks); Benefit Cosmetics grundat 1976 (en.wikipedia.org/wiki/Benefit_Cosmetics);2026
Maytag vs Sonos;Maytag grundat 1893 (en.wikipedia.org/wiki/Maytag); Sonos grundat aug 2002 (en.wikipedia.org/wiki/Sonos);2026
Beats vs Lux;Beats by Dre grundat 2006 (en.wikipedia.org/wiki/Beats_Electronics); Lux grundat 1899 (en.wikipedia.org/wiki/Lux_(soap));2026
Yamaha vs Wayfair;Yamaha (Nippon Gakki) grundat 1887 (en.wikipedia.org/wiki/Yamaha_Corporation); Wayfair grundat 2002 (en.wikipedia.org/wiki/Wayfair);2026
GoPro vs Birkenstock;GoPro grundat 2002 = 24 år, korr fr 22 (en.wikipedia.org/wiki/GoPro); Birkenstock anor till 1774 (birkenstock-group.com/history);2026
Clarks vs Chewy;Clarks grundat 1825 (en.wikipedia.org/wiki/Clarks); Chewy grundat juni 2011 (en.wikipedia.org/wiki/Chewy_(company));2026
Charlotte Tilbury vs Charmin;Charlotte Tilbury grundat sep 2013 = 13 år, korr fr 14/2012 (en.wikipedia.org/wiki/Charlotte_Tilbury_Beauty); Charmin grundat 1928 (en.wikipedia.org/wiki/Charmin);2026
Scott vs Glossier;Scott Paper grundat 1879 (encyclopedia.com Scott Paper Company); Glossier grundat 2014 (en.wikipedia.org/wiki/Glossier);2026
Etsy vs Quaker;Etsy grundat 2005 (en.wikipedia.org/wiki/Etsy); Quaker Oats grundat 1877 (en.wikipedia.org/wiki/Quaker_Oats_Company);2026
Dillard's vs Fitbit;Dillard's grundat 1938 (en.wikipedia.org/wiki/Dillard's); Fitbit grundat mar 2007 (en.wikipedia.org/wiki/Fitbit);2026
Dove vs DJI;Dove lanserat 1957 (en.wikipedia.org/wiki/Dove_(Unilever_brand)); DJI grundat 2006 (en.wikipedia.org/wiki/DJI);2026
Hoover vs Sonos;Hoover grundat 1908 (en.wikipedia.org/wiki/The_Hoover_Company); Sonos grundat aug 2002 (en.wikipedia.org/wiki/Sonos);2026
