fråga;källa;år
Felix vs Findus;Felix grundat 1939 → 87 år [en.wikipedia.org/wiki/AB_Felix]; Findus (namn från 1941, Findus Canning Factory) → 85 år [en.wikipedia.org/wiki/Findus];2026
M&M's vs Reese's;M&M's lanserade 1941 → 85 år [en.wikipedia.org/wiki/M%26M's]; Reese's Peanut Butter Cups 1928 → 98 år [en.wikipedia.org/wiki/Reese's_Peanut_Butter_Cups];2026
Jaguar vs Land Rover;Jaguar (namnet först 1935, SS Cars) → 91 år [en.wikipedia.org/wiki/Jaguar_Cars]; Land Rover 1948 → 78 år [en.wikipedia.org/wiki/Land_Rover];2026
Wrigley vs Trident;Wrigley Company 1891 → 135 år [en.wikipedia.org/wiki/Wrigley_Company]; Trident-tuggummi 1964 → 62 år [en.wikipedia.org/wiki/Trident_(gum)];2026
Pop-Tarts vs KitKat;Pop-Tarts lanserades 1964 → 62 år [en.wikipedia.org/wiki/Pop-Tarts]; KitKat (Rowntree's Chocolate Crisp) 1935 → 91 år [en.wikipedia.org/wiki/Kit_Kat];2026
Gevalia vs Löfbergs;Gevalia 1853 → 173 år [en.wikipedia.org/wiki/Gevalia]; Löfbergs 1906 → 120 år [en.wikipedia.org/wiki/L%C3%B6fbergs];2026
Opel vs Fiat;Opel grundat 1862 → 164 år [en.wikipedia.org/wiki/Opel]; Fiat grundat 1899 → 127 år [en.wikipedia.org/wiki/Fiat_S.p.A.];2026
Mitsubishi Motors vs Suzuki;Mitsubishi Motors 1970 → 56 år [en.wikipedia.org/wiki/Mitsubishi_Motors]; Suzuki (Suzuki Loom Works) 1909 → 117 år [en.wikipedia.org/wiki/Suzuki];2026
Lotus vs Rolls-Royce;Lotus Cars (Lotus Engineering Ltd) 1952 → 74 år [en.wikipedia.org/wiki/Lotus_Cars]; Rolls-Royce 1904 → 122 år [en.wikipedia.org/wiki/Rolls-Royce_Limited];2026
Leica vs Hasselblad;Leica (första Leica-kameran 1914, Ernst Leitz) → 112 år [en.wikipedia.org/wiki/Leica_Camera]; Victor Hasselblad AB (kameror) 1941 → 85 år [en.wikipedia.org/wiki/Hasselblad];2026
Champion vs Gant;Champion 1919 → 107 år [en.wikipedia.org/wiki/Champion_(sportswear)]; Gant 1949 → 77 år [en.wikipedia.org/wiki/Gant_(company)];2026
Diesel vs Hugo Boss;Diesel 1978 → 48 år [en.wikipedia.org/wiki/Renzo_Rosso]; Hugo Boss 1924 → 102 år [en.wikipedia.org/wiki/Hugo_Boss];2026
Koenigsegg vs Bugatti;Koenigsegg 1994 → 32 år [en.wikipedia.org/wiki/Koenigsegg]; Bugatti 1909 → 117 år [en.wikipedia.org/wiki/Bugatti];2026
Motorola vs Xiaomi;Motorola (Galvin Manufacturing) 1928 → 98 år [en.wikipedia.org/wiki/Motorola]; Xiaomi 2010 → 16 år [en.wikipedia.org/wiki/Lei_Jun];2026
King vs Bandai;King (spelstudio, Midasplayer) 2003 → 23 år [en.wikipedia.org/wiki/King_(company)]; Bandai 1950 → 76 år [en.wikipedia.org/wiki/Bandai];2026
Mojang vs Konami;Mojang 2009 → 17 år [en.wikipedia.org/wiki/Mojang_Studios]; Konami 1969 → 57 år [en.wikipedia.org/wiki/Konami];2026
Fitbit vs Panasonic;Fitbit 2007 → 19 år [en.wikipedia.org/wiki/Fitbit]; Panasonic (Matsushita Electric) 1918 → 108 år [en.wikipedia.org/wiki/Panasonic];2026
Toshiba vs Vizio;Toshiba (Tanaka, fabrik grundad 1875) → 151 år [global.toshiba/ww/outline/corporate/history.html]; Vizio 2002 → 24 år [en.wikipedia.org/wiki/William_Wang];2026
Clarks vs Dr. Martens;Clarks 1825 → 201 år [en.wikipedia.org/wiki/Clarks_(shoe_retailer)]; Dr. Martens (ursprung 1947, Maertens/Funk) → 79 år [en.wikipedia.org/wiki/Dr._Martens];2026
Pagani vs Maserati;Pagani 1992 → 34 år [en.wikipedia.org/wiki/Pagani_Automobili]; Maserati 1914 → 112 år [en.wikipedia.org/wiki/Maserati];2026
Aston Martin vs McLaren;Aston Martin (Bamford & Martin) grundat 1913 → 113 år [en.wikipedia.org/wiki/Aston_Martin]; McLaren (Bruce McLaren Motor Racing) grundat 1963 → 63 år [en.wikipedia.org/wiki/Bruce_McLaren];2026
Glossier vs L'Oréal;Glossier 2014 → 12 år [en.wikipedia.org/wiki/Glossier]; L'Oréal 1909 → 117 år [en.wikipedia.org/wiki/L'Or%C3%A9al];2026
Estée Lauder vs Fenty Beauty;Estée Lauder 1946 → 80 år [en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies]; Fenty Beauty 2017 → 9 år [en.wikipedia.org/wiki/Fenty_Beauty];2026
Chanel vs Rare Beauty;Chanel 1910 → 116 år [en.wikipedia.org/wiki/Chanel]; Rare Beauty (grundat 2019) → 7 år [en.wikipedia.org/wiki/Rare_Beauty];2026
Hoka vs Saucony;Hoka 2009 → 17 år [en.wikipedia.org/wiki/Hoka_(brand)]; Saucony 1898 → 128 år [en.wikipedia.org/wiki/Saucony];2026
Spendrups vs Omnipollo;Spendrups (Grängesbergs Bryggeri) 1897 → 129 år [en.wikipedia.org/wiki/Spendrups]; Omnipollo 2010 → 16 år [en.wikipedia.org/wiki/Omnipollo];2026
Dacia vs Citroën;Dacia 1966 → 60 år [en.wikipedia.org/wiki/Automobile_Dacia]; Citroën 1919 → 107 år [en.wikipedia.org/wiki/Citro%C3%ABn];2026
