fråga;källa;år
Santa Maria vs Önos;Santa Maria (te-/kryddhandel) grundat 1911 (sv.wikipedia/santamariaworld.com); Önos grundat 1903 av Ragnar Wollin i Tollarp (sv.wikipedia/onos.se).;2026
Malaco vs Pez;Malaco grundat 1934 (Malmö Lakrits Compani); Pez grundat 1927 i Österrike.;2026
Zoégas vs Gevalia;Zoégas grundat 1886 i Helsingborg; Gevalia grundat 1853 i Gävle.;2026
Daim vs Skittles;Daim lanserat 1953 av Marabou; Skittles lanserat 1974.;2026
Wasa vs Pågen;Wasa (Wasabröd) grundat 1919; Pågen grundat 1878.;2026
Sour Patch Kids vs Trident;Sour Patch Kids lanserat 1985; Trident-tuggummi lanserat 1964.;2026
Semper vs Löfbergs;Semper grundat 1939; Löfbergs grundat 1906.;2026
GB Glace vs SIA Glass;GB Glace grundat 1942; SIA Glass grundat 1961.;2026
Hemglass vs Delicato;Hemglass grundat 1968 (sv.wikipedia/hemglass.se); Delicato Bakverk grundat 1948 av Einar Belvén (sv.wikipedia/delicato.se).;2026
Önos vs Triumf Glass;Önos grundat 1903 av Ragnar Wollin (sv.wikipedia/onos.se); Triumf Glass grundat 1946 av Arne Müntzing i Göteborg (sv.wikipedia/triumfglass.se).;2026
Estrella vs Läkerol;Estrella grundat 1957; Läkerol lanserat 1909.;2026
Fazer vs Risifrutti;Fazer grundat 1891 i Helsingfors av Karl Fazer (sv.wikipedia/fazergroup.com); Risifrutti varumärke skapat 1992 (sv.wikipedia/risifrutti.se).;2026
Almondy vs Kavli;Almondy (Mandelbageriet) grundat 1982 i Göteborg (sv.wikipedia/almondy.com); Kavli grundat 1893 av Olav Kavli i Bergen (sv.wikipedia/kavli.no).;2026
Oatly vs Marabou;Oatly grundat 1994 (Ceba/Oatly); Marabou grundat 1916.;2026
Santa Maria vs Rekorderlig;Santa Maria (te-/kryddhandel) grundat 1911 (sv.wikipedia/santamariaworld.com); Rekorderlig (Åbro Bryggeri) skapat 1996 (en.wikipedia/rekorderlig.com).;2026
Smirnoff vs OLW;Smirnoff grundat 1864; OLW grundat 1967.;2026
Stadium vs Carlsberg;Stadium första butik öppnad 1987 i Stockholm (sv.wikipedia/stadium.se); Carlsberg grundat 1847 av J.C. Jacobsen i Köpenhamn (sv.wikipedia/carlsberg.com).;2026
Cloetta vs Fjällräven;Cloetta grundat 1862; Fjällräven grundat 1960.;2026
Absolut Vodka vs Björn Borg;Absolut Vodka lanserat 1879; Björn Borg (varumärket) grundat 1984.;2026
Ramlösa vs Spendrups;Ramlösa hälsobrunn sedan 1707; Spendrups (bryggeri) grundat 1897.;2026
Liquid Death vs Guinness;Liquid Death grundat 2019; Guinness grundat 1759.;2026
Jameson vs Tito's;Jameson grundat 1780; Tito's Vodka grundat 1997.;2026
Voi vs Heineken;Voi grundat 2018; Heineken grundat 1864.;2026
Nothing vs Kopparbergs;Nothing grundat 2020; Kopparbergs bryggeri grundat 1882.;2026
Lavazza vs Gymshark;Lavazza grundat 1895; Gymshark grundat 2012.;2026
