fråga;källa;år
Office Depot vs Bath & Body Works;Office Depot grundat 1986 (Boca Raton, FL); Bath & Body Works grundat 1990 (New Albany, OH).;2026
Ibis vs Novotel;Ibis-hotellkedjan grundad 1974 av Accor; Novotel grundat 1967 av Accor.;2026
Screwfix vs Argos;Screwfix grundat 1979 (UK); Argos grundat 1972 (UK).;2026
Baskin-Robbins vs Victoria's Secret;Baskin-Robbins grundat 1945 (Glendale, CA); Victoria's Secret grundat 1977 (San Francisco).;2026
Big Lots vs Staples;Big Lots grundat 1967 (Columbus, OH); Staples grundat 1986 (Massachusetts).;2026
Burlington vs PetSmart;Burlington (Coat Factory) grundat 1972; PetSmart grundat 1986 (Phoenix, AZ).;2026
Dollar Tree vs Rite Aid;Dollar Tree grundat 1986 (Virginia); Rite Aid grundat 1962 (Scranton, PA).;2026
Crowne Plaza vs Best Western;Crowne Plaza-varumärket lanserat 1983; Best Western grundat 1946 (Phoenix, AZ).;2026
B&Q vs Leroy Merlin;B&Q grundat 1969 (Southampton, UK); Leroy Merlin grundat 1923 (Frankrike).;2026
Bauhaus vs Premier Inn;Bauhaus (byggvaruhus) grundat 1960 (Mannheim, Tyskland); Premier Inn grundat 1987 (UK).;2026
Action vs Del Taco;Action (lågpriskedja) grundad 1993 (Nederländerna); Del Taco grundat 1964 (Yermo, CA).;2026
SoFi vs Barilla;SoFi grundat 2011 (San Francisco); Barilla grundat 1877 (Parma, Italien).;2026
TGI Fridays vs Wegmans;TGI Fridays grundat 1965 (New York); Wegmans grundat 1916 (Rochester, NY).;2026
Affirm vs Babbel;Affirm grundat 2012 (San Francisco); Babbel grundat 2007 (Berlin).;2026
Hormel vs Chime;Hormel Foods grundat 1891 (Austin, MN); Chime grundat 2012 (San Francisco).;2026
Superdrug vs Klook;Superdrug grundat 1964 (UK); Klook grundat 2014 (Hongkong).;2026
GetYourGuide vs Best Western;GetYourGuide grundat 2009 (Zürich/Berlin); Best Western grundat 1946.;2026
Premier Inn vs Klook;Premier Inn grundat 1987 (UK); Klook grundat 2014 (Hongkong).;2026
Ritz-Carlton vs Affirm;Ritz-Carlton (nuvarande bolag) grundat 1983 (Atlanta); Affirm grundat 2012.;2026
GetYourGuide vs Bauhaus;GetYourGuide grundat 2009; Bauhaus (byggvaruhus) grundat 1960.;2026
Coursera vs Argos;Coursera grundat 2012 (Stanford/Mountain View); Argos grundat 1972 (UK).;2026
Vacasa vs Leroy Merlin;Vacasa grundat 2009 (Portland, OR); Leroy Merlin grundat 1923.;2026
Sprouts vs Don Julio;Sprouts grundat 2002; Tequila Don Julio grundat 1942 (Jalisco, Mexiko).;2026
Douglas vs SoFi;Douglas (parfymeri) grundat 1910 (Hamburg); SoFi grundat 2011.;2026
Morrisons vs Afterpay;Morrisons grundat 1899 (Bradford, UK); Afterpay grundat 2014 (Australien).;2026
