fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är en sax längre eller kortare än en häftapparat?;Sax;Häftapparat;21;18;centimeter;Hur många centimeter skiljer det?
Är en visp längre eller kortare än en slev?;Visp;Slev;30;33;centimeter;Hur många centimeter skiljer det?
Är en skruvmejsel längre eller kortare än en pensel?;Skruvmejsel;Pensel;20;15;centimeter;Hur många centimeter skiljer det?
Är en ficklampa längre eller kortare än ett stearinljus?;Ficklampa;Stearinljus;16;25;centimeter;Hur många centimeter skiljer det?
Är ett gem längre eller kortare än en klädnypa?;Gem;Klädnypa;3,5;7;centimeter;Hur många centimeter skiljer det?
Är en tvättkorg högre eller lägre än en papperskorg?;Tvättkorg;Papperskorg;55;30;centimeter;Hur många centimeter skiljer det?
Är en toffla längre eller kortare än en stövel?;Toffla;Stövel;26;35;centimeter;Hur många centimeter skiljer det?
Väger en slev mer eller mindre än en visp?;Slev;Visp;130;90;gram;Hur många gram skiljer det?
Väger en rakhyvel mer eller mindre än en gryta?;Rakhyvel;Gryta;30;2500;gram;Hur många gram skiljer det?
Är en spade längre eller kortare än en pensel?;Spade;Pensel;120;18;centimeter;Hur många centimeter skiljer det?
Är en skruvmejsel längre eller kortare än en kratta?;Skruvmejsel;Kratta;30;160;centimeter;Hur många centimeter skiljer det?
Väger en termos mer eller mindre än ett stearinljus?;Termos;Stearinljus;400;30;gram;Hur många gram skiljer det?
Väger en visp mer eller mindre än en filt?;Visp;Filt;90;800;gram;Hur många gram skiljer det?
Väger en gryta mer eller mindre än en vattenkanna?;Gryta;Vattenkanna;2500;800;gram;Hur många gram skiljer det?
Väger en sax mer eller mindre än en såg?;Sax;Såg;100;600;gram;Hur många gram skiljer det?
Väger ett täcke mer eller mindre än en toffla?;Täcke;Toffla;1500;250;gram;Hur många gram skiljer det?
Väger en osthyvel mer eller mindre än en stege?;Osthyvel;Stege;120;6000;gram;Hur många gram skiljer det?
Är en kratta högre eller lägre än en stege?;Kratta;Stege;160;250;centimeter;Hur många centimeter skiljer det?
Väger en spade mer eller mindre än en ficklampa?;Spade;Ficklampa;2000;300;gram;Hur många gram skiljer det?
Väger en sax mer eller mindre än en kavel?;Sax;Kavel;100;500;gram;Hur många gram skiljer det?
Väger en bakplåt mer eller mindre än en osthyvel?;Bakplåt;Osthyvel;700;120;gram;Hur många gram skiljer det?
Väger en stege mer eller mindre än en tvättkorg?;Stege;Tvättkorg;6000;1200;gram;Hur många gram skiljer det?
Väger en vattenkanna mer eller mindre än ett gem?;Vattenkanna;Gem;800;1;gram;Hur många gram skiljer det?
Väger en klädnypa mer eller mindre än en gryta?;Klädnypa;Gryta;7;2500;gram;Hur många gram skiljer det?
Väger ett gem mer eller mindre än en glödlampa?;Gem;Glödlampa;1;30;gram;Hur många gram skiljer det?
Väger ett stearinljus mer eller mindre än en spade?;Stearinljus;Spade;30;2000;gram;Hur många gram skiljer det?
Väger en bakplåt mer eller mindre än ett gem?;Bakplåt;Gem;700;1;gram;Hur många gram skiljer det?
