fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är en Saturn V-raket längre eller kortare än ett passagerarflygplan?;Saturn V-raket;Passagerarflygplan;111;70;meter;Hur många meter skiljer det?
Är Frihetsgudinnan högre eller lägre än Rymdstationen ISS är lång?;Frihetsgudinnan;Rymdstationen ISS;93;109;meter;Hur många meter skiljer det?
Väger James Webb-teleskopet mer eller mindre än Hubbleteleskopet?;James Webb-teleskopet;Hubbleteleskopet;6200;12200;kilo;Hur många kilo skiljer det?
Väger ett barn mer eller mindre än en rymddräkt?;Ett barn;Rymddräkt;25;127;kilo;Hur många kilo skiljer det?
Springer en galopperande häst snabbare eller långsammare än en månbil?;Galopperande häst;Månbil;55;18;km/h;Hur många km/h skiljer det?
Flyger en rymdraket snabbare eller långsammare än en meteorit?;Rymdraket;Meteorit;28000;150000;km/h;Hur många km/h skiljer det?
Väger en Saturn V-raket mer eller mindre än en blåval?;Saturn V-raket;Blåval;2800;150;ton;Hur många ton skiljer det?
Är en skoldag längre eller kortare än den längsta rymdpromenaden?;Skoldag;Längsta rymdpromenaden;6;9;timmar;Hur många timmar skiljer det?
Tar Halleys komet längre eller kortare tid på ett varv runt solen än ett år på jorden?;Halleys komet;Ett år på jorden;76;1;år;Hur många år skiljer det?
Är avståndet från jorden till månen längre eller kortare än från jorden till solen?;Jorden till månen;Jorden till solen;384000;150000000;km;Hur många kilometer skiljer det?
Finns det fler eller färre satelliter runt jorden än stjärnor man kan se med blotta ögat? (2024);Satelliter runt jorden;Stjärnor man ser med blotta ögat;12000;4500;antal;Hur många skiljer det?
Tar en resa till Mars längre eller kortare tid än Apollos resa till månen?;Resa till Mars;Apollos resa till månen;200;4;dagar;Hur många dagar skiljer det?
Är en Saturn V-raket längre eller kortare än en rymdfärja?;Saturn V-raket;Rymdfärja;111;56;meter;Hur många meter skiljer det?
