fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger Mars-roven Perseverance mer eller mindre än den första satelliten Sputnik?;Mars-roven Perseverance;Satelliten Sputnik;1025;83,6;kilo;Hur många kilo skiljer det?
Väger Apollos månlandare mer eller mindre än månbilen?;Apollos månlandare;Månbilen;14900;210;kilo;Hur många kilo skiljer det?
Väger en astronaut mer på jorden eller på månen?;Astronaut på jorden;Astronaut på månen;84;14;kilo;Hur många kilo skiljer det?
Är rymdsonden Voyager 1 längre bort från jorden än avståndet jorden–solen?;Voyager 1 från jorden;Avståndet jorden–solen;24600;150;miljoner km;Hur många miljoner km skiljer det?
Väger en rymddräkt mer eller mindre än en dykardräkt?;Rymddräkt;Dykardräkt;125;23;kilo;Hur många kilo skiljer det?
Är en Falcon 9-raket högre eller lägre än Frihetsgudinnan?;Falcon 9-raket;Frihetsgudinnan;70;93;meter;Hur många meter skiljer det?
Lyser norrsken högre eller lägre upp i luften än Mount Everests topp?;Norrsken;Mount Everests topp;100;8,8;km;Hur många km skiljer det?
Brinner ett stjärnfall högre eller lägre upp än ett passagerarflygplan flyger?;Stjärnfall;Passagerarflygplan flyger;80;11;km;Hur många km skiljer det?
Är avståndet till fullmånen längre eller kortare än ett varv runt jorden?;Avståndet till fullmånen;Ett varv runt jorden;384000;40000;km;Hur många kilometer skiljer det?
Är asteroiden Ceres bredare eller smalare än Sverige är långt?;Asteroiden Ceres;Sverige på längden;940;1572;km;Hur många kilometer skiljer det?
Är Mount Everest högre eller lägre än kometen Halleys kärna är lång?;Mount Everest;Kometen Halleys kärna;8,8;15;km;Hur många km skiljer det?
Väger en tub rymdmat mer eller mindre än en hamburgare?;Tub rymdmat;Hamburgare;150;250;gram;Hur många gram skiljer det?
Väger en Apollo-rymdkapsel mer eller mindre än en afrikansk elefant?;Apollo-rymdkapsel;Afrikansk elefant;5800;6000;kilo;Hur många kilo skiljer det?
Väger en blåval mer eller mindre än Rymdstationen ISS?;Blåval;Rymdstationen ISS;150;420;ton;Hur många ton skiljer det?
Flyger rymdsonden Voyager snabbare eller långsammare än en gevärskula?;Rymdsonden Voyager;Gevärskula;61000;3600;km/h;Hur många km/h skiljer det?
Är James Webb-teleskopets spegel bredare eller smalare än en vuxen människa är lång?;James Webb-teleskopets spegel;Vuxen människa;6,5;1,8;meter;Hur många meter skiljer det?
Är en kometsvans längre eller kortare än avståndet jorden–solen?;Kometsvans;Avståndet jorden–solen;100;150;miljoner km;Hur många miljoner km skiljer det?
Väger en husbil mer eller mindre än meteoriten Hoba (störst på jorden)?;Husbil;Meteoriten Hoba;3,5;60;ton;Hur många ton skiljer det?
Väger en månlandare mer eller mindre än en tankbil?;Apollos månlandare;Tankbil;14900;26000;kilo;Hur många kilo skiljer det?
Är en rymdkapsels fallskärm bredare eller smalare än en simbassäng är lång?;Rymdkapsels fallskärm;Simbassäng;35;25;meter;Hur många meter skiljer det?
Varar en total solförmörkelse längre eller kortare än en skolrast?;Total solförmörkelse;Skolrast;7;20;minuter;Hur många minuter skiljer det?
Har en vinterjacka fler eller färre lager än en rymddräkt?;Vinterjacka;Rymddräkt;4;14;lager;Hur många lager skiljer det?
Är asteroiden Vesta bredare eller smalare än asteroiden Ceres?;Asteroiden Vesta;Asteroiden Ceres;525;940;km;Hur många kilometer skiljer det?
Flyger Hubbleteleskopet högre eller lägre över jorden än ett passagerarflygplan?;Hubbleteleskopet;Passagerarflygplan;540;11;km;Hur många km skiljer det?
Är en Falcon 9-raket bredare eller smalare än en buss är lång?;Falcon 9-rakets bredd;Buss på längden;3,7;12;meter;Hur många meter skiljer det?
Väger en rymdfärja mer eller mindre än en blåval?;Rymdfärja;Blåval;2000;150;ton;Hur många ton skiljer det?
Är ett rymdskrotsstycke som spåras runt jorden snabbare eller långsammare än en gevärskula? (2024);Rymdskrot runt jorden;Gevärskula;28000;3600;km/h;Hur många km/h skiljer det?
