fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är floden Nilen längre eller kortare än Amazonasfloden?;Nilen;Amazonasfloden;6650;6400;km;Hur många kilometer skiljer det?
Är Kebnekaise högre eller lägre än Norges högsta berg Galdhøpiggen?;Kebnekaise;Galdhøpiggen;2097;2469;meter;Hur många meter skiljer det?
Är Mont Blanc högre eller lägre än Mount Everest?;Mont Blanc;Mount Everest;4810;8849;meter;Hur många meter skiljer det?
Är berget Fuji i Japan högre eller lägre än Kebnekaise?;Fuji;Kebnekaise;3776;2097;meter;Hur många meter skiljer det?
Är Mälaren större eller mindre än Vättern till ytan?;Mälaren;Vättern;1073;1886;km²;Hur många kvadratkilometer skiljer det?
Är Gotland större eller mindre än Öland till ytan?;Gotland;Öland;2994;1342;km²;Hur många kvadratkilometer skiljer det?
Gränsar Brasilien till fler eller färre länder än Ryssland?;Brasilien;Ryssland;10;14;länder;Hur många länder skiljer det?
Är Sveriges värmerekord högre eller lägre än värmerekordet i Death Valley i USA?;Sveriges värmerekord;Death Valleys värmerekord;38;56,7;°C;Hur många grader skiljer det?
Är Stilla havet större eller mindre än Atlanten till ytan?;Stilla havet;Atlanten;165,2;106,5;miljoner km²;Hur många miljoner kvadratkilometer skiljer det?
Är Mount Everest högre eller lägre än Kebnekaise?;Mount Everest;Kebnekaise;8849;2097;meter;Hur många meter skiljer det?
Är Öland större eller mindre än Mallorca till ytan?;Öland;Mallorca;1342;3640;km²;Hur många kvadratkilometer skiljer det?
Är Åreskutan högre eller lägre än Mont Blanc?;Åreskutan;Mont Blanc;1420;4810;meter;Hur många meter skiljer det?
Är Vättern djupare eller grundare än Östersjön?;Vättern;Östersjön;120;459;meter;Hur många meter skiljer det?
Är vulkanen Vesuvius högre eller lägre än vulkanen Etna?;Vesuvius;Etna;1281;3403;meter;Hur många meter skiljer det?
Är Mälaren större eller mindre än Siljan till ytan?;Mälaren;Siljan;1073;293;km²;Hur många kvadratkilometer skiljer det?
Är Östersjön större eller mindre än Medelhavet till ytan?;Östersjön;Medelhavet;377;2500;tusen km²;Hur många tusen kvadratkilometer skiljer det?
Gränsar Sverige till fler eller färre länder än Tyskland?;Sverige;Tyskland;2;9;länder;Hur många länder skiljer det?
Är Kreta större eller mindre än Öland till ytan?;Kreta;Öland;8336;1342;km²;Hur många kvadratkilometer skiljer det?
Är Grönland större eller mindre än Island till ytan?;Grönland;Island;2166;103;tusen km²;Hur många tusen kvadratkilometer skiljer det?
Är Niagarafallen högre eller lägre än Angelfallen i Venezuela?;Niagarafallen;Angelfallen;51;979;meter;Hur många meter skiljer det?
Är Sahara större eller mindre än Gobiöknen till ytan?;Sahara;Gobiöknen;9,2;1,3;miljoner km²;Hur många miljoner kvadratkilometer skiljer det?
Är Bajkalsjön i Ryssland djupare eller grundare än Siljan?;Bajkalsjön;Siljan;1642;134;meter;Hur många meter skiljer det?
Är Grand Canyon djupare eller grundare än Vättern?;Grand Canyon;Vättern;1857;120;meter;Hur många meter skiljer det?
Är Göta älv längre eller kortare än Nilen?;Göta älv;Nilen;93;6650;km;Hur många kilometer skiljer det?
Är Madagaskar större eller mindre än Gotland till ytan?;Madagaskar;Gotland;587041;2994;km²;Hur många kvadratkilometer skiljer det?
Är Themsen i London längre eller kortare än Amazonasfloden?;Themsen;Amazonasfloden;346;6400;km;Hur många kilometer skiljer det?
