fråga;källa;år
Är Lutande tornet i Pisa högre eller lägre än Sydney Operahus?;Wikipedia Leaning Tower of Pisa (55,86 m låga sidan) https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa; Sydney Opera House (65 m högsta takskal) https://en.wikipedia.org/wiki/Sydney_Opera_House;2024
Är Space Needle högre eller lägre än Washington Monument?;Wikipedia Space Needle (184 m m. spira) https://en.wikipedia.org/wiki/Space_Needle; Washington Monument (169 m) https://en.wikipedia.org/wiki/Washington_Monument;2024
Är London Eye högre eller lägre än Chrysler Building?;Wikipedia London Eye (135 m) https://en.wikipedia.org/wiki/London_Eye; Chrysler Building (319 m) https://en.wikipedia.org/wiki/Chrysler_Building;2024
Är Notre-Dame högre eller lägre än Space Needle?;Wikipedia Notre-Dame de Paris (spira ~96 m) https://en.wikipedia.org/wiki/Notre-Dame_de_Paris; Space Needle (184 m) https://en.wikipedia.org/wiki/Space_Needle;2024
Är Atomium högre eller lägre än Sagrada Familia?;Wikipedia Atomium (102 m) https://en.wikipedia.org/wiki/Atomium; Sagrada Família (172,5 m vid färdigställande) https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia;2024
Är Willis Tower högre eller lägre än Chrysler Building?;Wikipedia Willis Tower (442 m tak) https://en.wikipedia.org/wiki/Willis_Tower; Chrysler Building (319 m) https://en.wikipedia.org/wiki/Chrysler_Building;2024
Är Taipei 101 högre eller lägre än Eiffeltornet?;Wikipedia Taipei 101 (508 m) https://en.wikipedia.org/wiki/Taipei_101; Eiffeltornet (330 m m. antenn 2022) https://en.wikipedia.org/wiki/Eiffel_Tower;2024
Är Storkyrkan äldre eller yngre än Sagrada Familia?;Wikipedia Storkyrkan (invigd 1306, ~720 år) https://en.wikipedia.org/wiki/Storkyrkan; Sagrada Família (påbörjad 1882, ~143 år) https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia;2026
Är Notre-Dame högre eller lägre än Petronas Towers?;Wikipedia Notre-Dame (spira ~96 m) https://en.wikipedia.org/wiki/Notre-Dame_de_Paris; Petronas Towers (452 m) https://en.wikipedia.org/wiki/Petronas_Towers;2024
Är Eiffeltornet högre eller lägre än Lutande tornet i Pisa?;Wikipedia Eiffeltornet (330 m m. antenn 2022) https://en.wikipedia.org/wiki/Eiffel_Tower; Pisa (55,86 m) https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa;2024
Är Empire State Building högre eller lägre än Sydney Operahus?;Wikipedia Empire State Building (443 m m. antenn) https://en.wikipedia.org/wiki/Empire_State_Building; Sydney Opera House (65 m) https://en.wikipedia.org/wiki/Sydney_Opera_House;2024
Är Chrysler Building högre eller lägre än Triumfbågen i Paris?;Wikipedia Chrysler Building (319 m) https://en.wikipedia.org/wiki/Chrysler_Building; Arc de Triomphe (~50 m) https://en.wikipedia.org/wiki/Arc_de_Triomphe;2024
Är London Eye högre eller lägre än Taipei 101?;Wikipedia London Eye (135 m) https://en.wikipedia.org/wiki/London_Eye; Taipei 101 (508 m) https://en.wikipedia.org/wiki/Taipei_101;2024
Är Atomium högre eller lägre än Petronas Towers?;Wikipedia Atomium (102 m) https://en.wikipedia.org/wiki/Atomium; Petronas Towers (452 m) https://en.wikipedia.org/wiki/Petronas_Towers;2024
Är Willis Tower högre eller lägre än Sydney Operahus?;Wikipedia Willis Tower (442 m) https://en.wikipedia.org/wiki/Willis_Tower; Sydney Opera House (65 m) https://en.wikipedia.org/wiki/Sydney_Opera_House;2024
Är Empire State Building högre eller lägre än Sagrada Familia?;Wikipedia Empire State Building (443 m) https://en.wikipedia.org/wiki/Empire_State_Building; Sagrada Família (172,5 m) https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia;2024
Är Washington Monument högre eller lägre än London Eye?;Wikipedia Washington Monument (169 m) https://en.wikipedia.org/wiki/Washington_Monument; London Eye (135 m) https://en.wikipedia.org/wiki/London_Eye;2024
Är Notre-Dame äldre eller yngre än Kinesiska muren?;Wikipedia Notre-Dame (påbörjad 1163, ~860 år) https://en.wikipedia.org/wiki/Notre-Dame_de_Paris; Kinesiska muren (tidigaste delar ~2300+ år, 600-talet f.Kr.) https://en.wikipedia.org/wiki/Great_Wall_of_China;2026
Är Storkyrkan äldre eller yngre än Parthenon på Akropolis?;Wikipedia Storkyrkan (~720 år) https://en.wikipedia.org/wiki/Storkyrkan; Parthenon (färdigt 438 f.Kr., ~2470 år) https://en.wikipedia.org/wiki/Parthenon;2026
Är Stonehenge äldre eller yngre än Taj Mahal?;Wikipedia Stonehenge (~5000 år) https://en.wikipedia.org/wiki/Stonehenge; Taj Mahal (komplex färdigt ~1653, ~373 år) https://en.wikipedia.org/wiki/Taj_Mahal;2026
Är Sfinxen i Giza äldre eller yngre än Stockholms slott?;Wikipedia Great Sphinx of Giza (~4500 år) https://en.wikipedia.org/wiki/Great_Sphinx_of_Giza; Stockholms slott (färdigt 1754, ~272 år) https://en.wikipedia.org/wiki/Stockholm_Palace;2026
Är Petra äldre eller yngre än Uppsala domkyrka?;Wikipedia Petra (grundad ~300 f.Kr. av nabatéer, ~2300 år) https://en.wikipedia.org/wiki/Petra; Uppsala domkyrka (invigd 1435, ~590 år) https://en.wikipedia.org/wiki/Uppsala_Cathedral;2026
Är Atomium högre eller lägre än Golden Gate-bron sett till höjden?;Wikipedia Atomium (102 m) https://en.wikipedia.org/wiki/Atomium; Golden Gate Bridge (torn 227 m över vattnet) https://en.wikipedia.org/wiki/Golden_Gate_Bridge;2024
Är Eiffeltornet äldre eller yngre än Sfinxen i Giza?;Wikipedia Eiffeltornet (1889, ~137 år) https://en.wikipedia.org/wiki/Eiffel_Tower; Great Sphinx of Giza (~4500 år) https://en.wikipedia.org/wiki/Great_Sphinx_of_Giza;2026
Är Taj Mahal äldre eller yngre än Stonehenge?;Wikipedia Taj Mahal (~373 år) https://en.wikipedia.org/wiki/Taj_Mahal; Stonehenge (~5000 år) https://en.wikipedia.org/wiki/Stonehenge;2026
Är Washington Monument högre eller lägre än Empire State Building?;Wikipedia Washington Monument (169 m) https://en.wikipedia.org/wiki/Washington_Monument; Empire State Building (443 m) https://en.wikipedia.org/wiki/Empire_State_Building;2024
Är Sydney Operahus äldre eller yngre än Storkyrkan?;Wikipedia Sydney Opera House (invigt 1973, ~53 år) https://en.wikipedia.org/wiki/Sydney_Opera_House; Storkyrkan (~720 år) https://en.wikipedia.org/wiki/Storkyrkan;2026
