fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är Burj Khalifa högre eller lägre än Eiffeltornet?;Burj Khalifa;Eiffeltornet;828;330;meter;Hur många meter skiljer det?
Är Eiffeltornet högre eller lägre än Frihetsgudinnan?;Eiffeltornet;Frihetsgudinnan;330;93;meter;Hur många meter skiljer det?
Är Lutande tornet i Pisa högre eller lägre än Cheopspyramiden?;Lutande tornet i Pisa;Cheopspyramiden;56;139;meter;Hur många meter skiljer det?
Är Empire State Building högre eller lägre än Avicii Arena (Globen)?;Empire State Building;Avicii Arena (Globen);443;85;meter;Hur många meter skiljer det?
Är Avicii Arena (Globen) högre eller lägre än Turning Torso?;Avicii Arena (Globen);Turning Torso;85;190;meter;Hur många meter skiljer det?
Är Vasaskeppet äldre eller yngre än Christusstatyn i Rio?;Vasaskeppet;Christusstatyn i Rio;398;95;år;Hur många år skiljer det?
Är Empire State Building högre eller lägre än Burj Khalifa?;Empire State Building;Burj Khalifa;443;828;meter;Hur många meter skiljer det?
Är Cheopspyramiden högre eller lägre än Christusstatyn i Rio?;Cheopspyramiden;Christusstatyn i Rio;139;38;meter;Hur många meter skiljer det?
Är Big Ben högre eller lägre än Golden Gate-bron?;Big Ben;Golden Gate-bron;96;227;meter;Hur många meter skiljer det?
Är Mount Everest högre eller lägre än Kaknästornet?;Mount Everest;Kaknästornet;8849;170;meter;Hur många meter skiljer det?
Är Triumfbågen i Paris högre eller lägre än Golden Gate-bron?;Triumfbågen i Paris;Golden Gate-bron;50;227;meter;Hur många meter skiljer det?
Är Mount Everest högre eller lägre än Burj Khalifa?;Mount Everest;Burj Khalifa;8849;828;meter;Hur många meter skiljer det?
Är Cheopspyramiden äldre eller yngre än Colosseum?;Cheopspyramiden;Colosseum;4500;1946;år;Hur många år skiljer det?
Är Colosseum äldre eller yngre än Eiffeltornet?;Colosseum;Eiffeltornet;1946;137;år;Hur många år skiljer det?
Är Frihetsgudinnan äldre eller yngre än Taj Mahal?;Frihetsgudinnan;Taj Mahal;140;373;år;Hur många år skiljer det?
Är Stockholms slott äldre eller yngre än Taj Mahal?;Stockholms slott;Taj Mahal;272;373;år;Hur många år skiljer det?
Är Kinesiska muren äldre eller yngre än Stockholms slott?;Kinesiska muren;Stockholms slott;2300;272;år;Hur många år skiljer det?
Är Vasaskeppet äldre eller yngre än Triumfbågen i Paris?;Vasaskeppet;Triumfbågen i Paris;398;190;år;Hur många år skiljer det?
Har Empire State Building fler eller färre våningar än Turning Torso?;Empire State Building;Turning Torso;102;54;våningar;Hur många våningar skiljer det?
Har Turning Torso fler eller färre våningar än Burj Khalifa?;Turning Torso;Burj Khalifa;54;163;våningar;Hur många våningar skiljer det?
Har Frihetsgudinnan fler eller färre trappsteg upp till toppen än Eiffeltornet?;Frihetsgudinnan;Eiffeltornet;354;1665;trappsteg;Hur många trappsteg skiljer det?
Är Kinesiska muren längre eller kortare än Golden Gate-bron?;Kinesiska muren;Golden Gate-bron;21196000;2737;meter;Hur många meter skiljer det?
Är Cheopspyramiden äldre eller yngre än Stockholms slott?;Cheopspyramiden;Stockholms slott;4500;272;år;Hur många år skiljer det?
Är Niagarafallen högre eller lägre än Big Ben?;Niagarafallen;Big Ben;57;96;meter;Hur många meter skiljer det?
Är Lutande tornet i Pisa högre eller lägre än Kaknästornet?;Lutande tornet i Pisa;Kaknästornet;56;170;meter;Hur många meter skiljer det?
