fråga;källa;år
Är Burj Khalifa högre eller lägre än Eiffeltornet?;Wikipedia/Britannica (Burj Khalifa 828 m, Eiffeltornet 330 m inkl. antenn 2022);2025
Är Eiffeltornet högre eller lägre än Frihetsgudinnan?;Wikipedia (Eiffeltornet 330 m inkl. antenn, Frihetsgudinnan 93 m mark till fackla, NPS);2025
Är Lutande tornet i Pisa högre eller lägre än Cheopspyramiden?;Wikipedia (Pisa ~56 m, Cheopspyramiden 138,5 m nuvarande höjd);2025
Är Empire State Building högre eller lägre än Avicii Arena (Globen)?;Wikipedia (Empire State Building 443 m inkl. mast, Avicii Arena 85 m);2025
Är Avicii Arena (Globen) högre eller lägre än Turning Torso?;Wikipedia (Avicii Arena 85 m, Turning Torso 190 m);2025
Är Vasaskeppet äldre eller yngre än Christusstatyn i Rio?;Vasaskeppet sjösatt 1628 (398 år), Christusstatyn invigd 1931 (95 år), ålder mot 2026;2026
Är Empire State Building högre eller lägre än Burj Khalifa?;Wikipedia (Empire State Building 443 m, Burj Khalifa 828 m);2025
Är Cheopspyramiden högre eller lägre än Christusstatyn i Rio?;Wikipedia (Cheopspyramiden 138,5 m, Christusstatyn 38 m inkl. sockel);2025
Är Big Ben högre eller lägre än Golden Gate-bron?;Wikipedia (Big Ben 96 m, Golden Gate-bron torn 227 m över vattnet);2025
Är Mount Everest högre eller lägre än Kaknästornet?;Wikipedia (Mount Everest 8849 m enl. 2020 års mätning, Kaknästornet 170 m);2025
Är Triumfbågen i Paris högre eller lägre än Golden Gate-bron?;Wikipedia (Triumfbågen ~50 m, Golden Gate-bron torn 227 m);2025
Är Mount Everest högre eller lägre än Burj Khalifa?;Wikipedia (Mount Everest 8849 m, Burj Khalifa 828 m);2025
Är Cheopspyramiden äldre eller yngre än Colosseum?;Cheopspyramiden ca 4500 år, Colosseum invigt 80 e.Kr. (1946 år), ålder mot 2026;2026
Är Colosseum äldre eller yngre än Eiffeltornet?;Colosseum 80 e.Kr. (1946 år), Eiffeltornet 1889 (137 år), ålder mot 2026;2026
Är Frihetsgudinnan äldre eller yngre än Taj Mahal?;Frihetsgudinnan invigd 1886 (140 år), Taj Mahal färdig 1653 (373 år), ålder mot 2026;2026
Är Stockholms slott äldre eller yngre än Taj Mahal?;Stockholms slott inflyttat 1754 (272 år), Taj Mahal 1653 (373 år), ålder mot 2026;2026
Är Kinesiska muren äldre eller yngre än Stockholms slott?;Kinesiska muren (Qin ~214 f.Kr., ~2300 år), Stockholms slott 1754 (272 år), ålder mot 2026;2026
Är Vasaskeppet äldre eller yngre än Triumfbågen i Paris?;Vasaskeppet 1628 (398 år), Triumfbågen färdig 1836 (190 år), ålder mot 2026;2026
Har Empire State Building fler eller färre våningar än Turning Torso?;Wikipedia (Empire State Building 102 våningar, Turning Torso 54);2025
Har Turning Torso fler eller färre våningar än Burj Khalifa?;Wikipedia (Turning Torso 54 våningar, Burj Khalifa 163);2025
Har Frihetsgudinnan fler eller färre trappsteg upp till toppen än Eiffeltornet?;NPS (Frihetsgudinnan 354 trappsteg till kronan), Eiffeltornet officiell (1665 trappsteg till toppen);2025
Är Kinesiska muren längre eller kortare än Golden Gate-bron?;Kinesiska muren officiell totallängd 21196 km = 21196000 m (travelchinaguide/chinadiscovery), Golden Gate-bron 2737 m total längd (goldengate.org);2024
Är Cheopspyramiden äldre eller yngre än Stockholms slott?;Cheopspyramiden ca 4500 år, Stockholms slott 1754 (272 år), ålder mot 2026;2026
Är Niagarafallen högre eller lägre än Big Ben?;Wikipedia (Horseshoe Falls fallhöjd ~57 m, Big Ben 96 m);2025
Är Lutande tornet i Pisa högre eller lägre än Kaknästornet?;Wikipedia (Lutande tornet i Pisa ~56 m, Kaknästornet 170 m);2025
