fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är världens högsta snögubbe högre eller lägre än en vanlig snögubbe i trädgården?;Världens högsta snögubbe;Vanlig snögubbe i trädgården;37;1,5;meter;Hur många meter skiljer det?
Väger ett stort hagelkorn mer eller mindre än en vanlig regndroppe?;Stort hagelkorn;Vanlig regndroppe;30;0,2;gram;Hur många gram skiljer det?
Blåser det mer eller mindre under ett kraftigt snöoväder än en alldeles vindstilla dag?;Kraftigt snöoväder;Vindstilla dag;120;3;km/h;Hur många km/h skiljer det?
Faller en snöflinga snabbare eller långsammare mot marken än ett hagelkorn?;Snöflinga;Hagelkorn;3;90;km/h;Hur många km/h skiljer det?
Är en vanlig regndroppe bredare eller smalare än det största hagelkorn som uppmätts?;Vanlig regndroppe;Största uppmätta hagelkornet;0,5;20;centimeter;Hur många centimeter skiljer det?
Är en vanlig vattenpöl på gården djupare eller grundare än vattnet på en översvämmad gata?;Vanlig vattenpöl;Översvämmad gata;2;200;centimeter;Hur många centimeter skiljer det?
Har ett sommardygn i Kiruna fler eller färre ljusa timmar än ett vinterdygn i Kiruna?;Sommardygn i Kiruna;Vinterdygn i Kiruna;24;0;timmar;Hur många timmar skiljer det?
Syns den längsta regnbåge som setts under fler eller färre minuter än en helt vanlig regnbåge?;Längsta regnbågen som setts;Vanlig regnbåge;540;10;minuter;Hur många minuter skiljer det?
Blåser det mer eller mindre i en tornado än i en lätt sommarbris?;Tornado;Lätt sommarbris;480;8;km/h;Hur många km/h skiljer det?
Är snödjupet en vanlig vinter större eller mindre uppe i fjällen än nere i Skåne?;Fjällen en vanlig vinter;Skåne en vanlig vinter;150;25;centimeter;Hur många centimeter skiljer det?
Blåser det mer eller mindre i en lätt bris än i en kuling?;Lätt bris;Kuling;18;70;km/h;Hur många km/h skiljer det?
Lyser solen fler eller färre timmar om året i Sverige än i Egypten?;Sverige;Egypten;1800;3800;timmar;Hur många timmar skiljer det?
Faller det mer eller mindre regn på ett år i regniga Bergen än i Stockholm?;Bergen;Stockholm;2250;540;millimeter;Hur många millimeter skiljer det?
Åskar det fler eller färre dagar om året i Florida än i åskrika Indonesien?;Florida;Indonesien;90;320;dagar;Hur många dagar skiljer det?
Är det varmare eller kallare under en svensk värmebölja än en mild vårdag?;Svensk värmebölja;Mild vårdag;40;10;°C;Hur många grader skiljer det?
Blåser det mer eller mindre i en kraftig vindby under en storm än i en frisk vind?;Vindby under storm;Frisk vind;110;30;km/h;Hur många km/h skiljer det?
Är en liten istapp på fönsterblecket längre eller kortare än en stor istapp på ett hustak?;Liten istapp på fönsterblecket;Stor istapp på hustaket;30;120;centimeter;Hur många centimeter skiljer det?
Når ett högt åskmoln högre eller lägre upp i luften än ett lågt regnmoln?;Högt åskmoln;Lågt regnmoln;13000;2500;meter;Hur många meter skiljer det?
Är snödjupet en vanlig vinter större eller mindre i Göteborg än i Kiruna?;Göteborg en vanlig vinter;Kiruna en vanlig vinter;18;90;centimeter;Hur många centimeter skiljer det?
Är det varmare eller kallare en svensk sommardag än en het dag i Sahara?;Svensk sommardag;Het dag i Sahara;15;50;°C;Hur många grader skiljer det?
Regnar det fler eller färre dagar om året i Bergen än i soliga Madrid?;Bergen;Madrid;240;60;dagar;Hur många dagar skiljer det?
Är ett ärtstort hagelkorn större eller mindre än ett golfbollsstort hagelkorn?;Ärtstort hagelkorn;Golfbollsstort hagelkorn;1;4;centimeter;Hur många centimeter skiljer det?
Blåser det mer eller mindre i en orkan än i en kraftig blåst en höstdag?;Orkan;Kraftig blåst en höstdag;200;45;km/h;Hur många km/h skiljer det?
Lyser solen fler eller färre timmar om året i Reykjavik än i soliga Phoenix?;Reykjavik;Phoenix;1250;4000;timmar;Hur många timmar skiljer det?
Faller det mer eller mindre snö under ett rekorddygn än vid ett vanligt snöfall på en dag?;Rekorddygn med snö;Vanligt snöfall på en dag;100;15;centimeter;Hur många centimeter skiljer det?
Ser man längre eller kortare bort i ett lätt dis än under en klar solig dag?;Lätt dis;Klar solig dag;5000;30000;meter;Hur många meter skiljer det?
Är det varmare eller kallare en kväll i öknen än mitt på dagen i öknen?;Ökenkväll;Ökendag;20;48;°C;Hur många grader skiljer det?
