fråga;källa;år
Väger Mars-roven Perseverance mer eller mindre än den första satelliten Sputnik?;en.wikipedia.org/wiki/Perseverance_(rover) (1025 kg); en.wikipedia.org/wiki/Sputnik_1 (83,6 kg);2024
Väger Apollos månlandare mer eller mindre än månbilen?;en.wikipedia.org/wiki/Apollo_Lunar_Module (~14900 kg); nssdc.gsfc.nasa.gov Apollo LRV (210 kg);2024
Väger en astronaut mer på jorden eller på månen?;månens gravitation ~1/6 av jordens; ex. 84 kg på jorden ≈ 14 kg på månen;2024
Är rymdsonden Voyager 1 längre bort från jorden än avståndet jorden–solen?;science.nasa.gov Where Are Voyager (~24,6 mdr km, aug 2024); 1 AU = 150 milj km;2024
Väger en rymddräkt mer eller mindre än en dykardräkt?;nasa.gov Spacesuits / scilift (EMU ~125 kg); typisk dykardräkt med utrustning ~23 kg;2024
Är en Falcon 9-raket högre eller lägre än Frihetsgudinnan?;spacex.com Falcon 9 (70 m); en.wikipedia.org/wiki/Statue_of_Liberty (93 m totalhöjd);2024
Lyser norrsken högre eller lägre upp i luften än Mount Everests topp?;NOAA/SMHI norrsken vanligen ~100 km höjd; Mount Everest 8,8 km;2024
Brinner ett stjärnfall högre eller lägre upp än ett passagerarflygplan flyger?;AMS meteorer brinner ~75–100 km (~80 km); marschhöjd ~11 km;2024
Är avståndet till fullmånen längre eller kortare än ett varv runt jorden?;genomsnittligt månavstånd ~384 000 km; jordens omkrets ~40 000 km;2024
Är asteroiden Ceres bredare eller smalare än Sverige är långt?;NASA Ceres diameter ~940 km; Sverige nord–syd ~1572 km;2024
Är Mount Everest högre eller lägre än kometen Halleys kärna är lång?;Mount Everest 8,8 km; ESA Giotto Halleys kärna ~15 km längd;2024
Väger en tub rymdmat mer eller mindre än en hamburgare?;NASA/CSA rymdmat-tub ~150 g; typisk hamburgare ~250 g;2024
Väger en Apollo-rymdkapsel mer eller mindre än en afrikansk elefant?;NASA Apollo Command Module ~5800 kg; afrikansk elefant ~6000 kg;2024
Väger en blåval mer eller mindre än Rymdstationen ISS?;blåval ~150 ton; nasa.gov ISS ~420 ton;2024
Flyger rymdsonden Voyager snabbare eller långsammare än en gevärskula?;NASA Voyager ~17 km/s ≈ 61 000 km/h; gevärskula ~1000 m/s ≈ 3600 km/h;2024
Är James Webb-teleskopets spegel bredare eller smalare än en vuxen människa är lång?;jwst.nasa.gov primärspegel 6,5 m; vuxen människa ~1,8 m;2024
Är en kometsvans längre eller kortare än avståndet jorden–solen?;kometsvansar kan nå ~100 milj km; 1 AU = 150 milj km;2024
Väger en husbil mer eller mindre än meteoriten Hoba (störst på jorden)?;Husbil ~3,5 ton (tjänstevikt 2,8-3,3 ton, totalvikt 3,5 ton); meteoriten Hoba ~60 ton;2024
Väger en månlandare mer eller mindre än en tankbil?;en.wikipedia.org/wiki/Apollo_Lunar_Module (~14900 kg); tankbil totalvikt ~26 ton;2024
Är en rymdkapsels fallskärm bredare eller smalare än en simbassäng är lång?;NASA Orion huvudskärm ~35 m diameter; tävlingsbassäng 25 m;2024
Varar en total solförmörkelse längre eller kortare än en skolrast?;total solförmörkelse max ~7 min totalitet; skolrast ~20 min;2024
Har en vinterjacka fler eller färre lager än en rymddräkt?;vinterjacka ~4 lager; nasa.gov EMU 14 lager;2024
Är asteroiden Vesta bredare eller smalare än asteroiden Ceres?;NASA Dawn Vesta ~525 km; Ceres ~940 km;2024
Flyger Hubbleteleskopet högre eller lägre över jorden än ett passagerarflygplan?;science.nasa.gov Hubble omloppsbana ~540 km; marschhöjd ~11 km;2024
Är en Falcon 9-raket bredare eller smalare än en buss är lång?;spacex.com Falcon 9 diameter 3,7 m; typisk buss ~12 m;2024
Väger en rymdfärja mer eller mindre än en blåval?;NASA Space Shuttle Orbiter ~2000 ton startvikt med tank/raketer; blåval ~150 ton;2024
Är ett rymdskrotsstycke som spåras runt jorden snabbare eller långsammare än en gevärskula? (2024);ESA Space Debris omloppsfart ~28 000 km/h; gevärskula ~3600 km/h;2024
