fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en vuxen fler eller färre tänder än ett barn med bara mjölktänder?;Vuxen;Barn med mjölktänder;32;20;tänder;Hur många tänder skiljer det?
Slår en vuxens hjärta fler eller färre slag per minut än ett spädbarns?;Vuxen;Spädbarn;70;130;slag/minut;Hur många slag per minut skiljer det?
Har en vuxen fler eller färre ben i skelettet än ett nyfött barn?;Vuxen;Nyfött barn;206;300;ben;Hur många ben skiljer det?
Väger hjärnan mer eller mindre än hjärtat hos en vuxen människa?;Hjärnan;Hjärtat;1400;300;gram;Hur många gram skiljer det?
Är ett sexårigt barn längre eller kortare än en vuxen?;Sexårigt barn;Vuxen;115;175;centimeter;Hur många centimeter skiljer det?
Är en giraffs hals längre eller kortare än en människas hals?;Giraffhals;Människohals;2,4;0,12;meter;Hur många meter skiljer det?
Väger ett nyfött barn mer eller mindre än ett femårigt barn?;Nyfött barn;Femårigt barn;3,5;18;kilo;Hur många kilo skiljer det?
Är det minsta benet i örat längre eller kortare än lårbenet?;Minsta benet i örat;Lårbenet;0,3;45;centimeter;Hur många centimeter skiljer det?
Har vi fler eller färre hårstrån på huvudet än ögonfransar?;Hårstrån på huvudet;Ögonfransar;100000;200;strån;Hur många hårstrån skiljer det?
Har en människa fler eller färre ögon än tår?;Ögon;Tår;2;10;stycken;Hur många skiljer det?
Är en människas arm längre eller kortare än en elefants snabel?;Människoarm;Elefantsnabel;0,7;2;meter;Hur många meter skiljer det?
Slår hjärtat fler eller färre slag per minut när man springer än när man vilar?;Hjärtat när man springer;Hjärtat när man vilar;180;60;slag/minut;Hur många slag per minut skiljer det?
Är en vuxen man längre eller kortare än en vuxen kvinna?;Vuxen man;Vuxen kvinna;180;167;centimeter;Hur många centimeter skiljer det?
Är en människas kroppstemperatur högre eller lägre än en hunds?;Människa;Hund;37;38,5;°C;Hur många grader skiljer det?
Väger en människas hjärta mer eller mindre än en blåvals hjärta?;Människohjärta;Blåvalshjärta;0,3;180;kilo;Hur många kilo skiljer det?
Väger en giraffs hjärta mer eller mindre än en människas hjärta?;Giraffhjärta;Människohjärta;11;0,3;kilo;Hur många kilo skiljer det?
Är en vuxens hand längre eller kortare än en vuxens fot?;Hand;Fot;19;26;centimeter;Hur många centimeter skiljer det?
Är tungan längre eller kortare än näsan?;Tunga;Näsa;10;5;centimeter;Hur många centimeter skiljer det?
Är en människas öra längre eller kortare än en elefants öra?;Människoöra;Elefantöra;6;180;centimeter;Hur många centimeter skiljer det?
Väger ett ettårigt barn mer eller mindre än ett nyfött barn?;Ettårigt barn;Nyfött barn;10;3,5;kilo;Hur många kilo skiljer det?
Blev den äldsta guldfisken någonsin äldre eller yngre än den äldsta människan någonsin?;Guldfisk;Människa;43;122;år;Hur många år skiljer det?
Har vi fler eller färre fingrar än revben?;Fingrar;Revben;10;24;stycken;Hur många skiljer det?
Har en hund fler eller färre tänder än en vuxen människa?;Hund;Vuxen människa;42;32;tänder;Hur många tänder skiljer det?
Slår en människas hjärta fler eller färre slag per minut än en kolibris?;Människa;Kolibri;70;1200;slag/minut;Hur många slag per minut skiljer det?
Är en vuxen människa längre eller kortare än ett nyfött barn?;Vuxen människa;Nyfött barn;1,8;0,5;meter;Hur många meter skiljer det?
Väger en vuxen människa mer eller mindre än ett femårigt barn?;Vuxen människa;Femårigt barn;75;18;kilo;Hur många kilo skiljer det?
