fråga;källa;år
Är en nyfödd babys huvud större eller mindre i omkrets än en vuxens huvud?;1177 Vårdguiden / WHO tillväxtkurvor (huvudomkrets nyfödd ~35 cm, vuxen ~57 cm);2024
Är en människas mage rymligare eller mindre rymlig full än tom?;Britannica / fysiologilitteratur (magsäck tom ~50 ml, full ~1 l);2023
Väger ett vuxet finger mer eller mindre än hela handen?;anatomisk litteratur (hand ~400 g, finger ~30 g);2023
Är en arm hos ett spädbarn längre eller kortare än ett vuxet ben?;antropometrisk standarddata;2023
Är en nagel på lillfingret bredare eller smalare än en nagel på tummen?;anatomisk uppskattning (tumnagel ~16 mm, lillfingernagel ~7 mm);2023
Är en människas hår längst på huvudet eller i ögonbrynen?;Wikipedia/hårfysiologi (huvudhår kan bli >70 cm, ögonbrynshår ~1 cm);2023
Väger en vuxens hela skelett mer eller mindre än hjärnan?;ICRP referensvärde (manligt skelett ~10,5 kg; hjärna i snitt ~1,3-1,4 kg);2023
Är ett spädbarns hela arm längre eller kortare än en vuxens fot?;antropometrisk standarddata;2023
Är det varmare eller kallare i en bastu än i kroppen?;svensk bastutradition (bastu ~80-90 °C, kropp 37 °C);2024
Tar man fler eller färre andetag på en minut när man sover än när man springer?;1177 Vårdguiden (vila ~12, ansträngning ~40 andetag/min);2024
Har en människa fler eller färre ögon än fingrar?;allmän anatomi;2024
Är ett spädbarn längre eller kortare än en tioåring?;WHO/svenska tillväxtkurvor (nyfödd ~50 cm, tioåring ~140 cm);2024
Väger ett hårstrå mer eller mindre än ett ögonfranshår?;hårfysiologisk litteratur (hårstrå ~0,62-0,78 mg, naturligt ögonfranshår ~0,04 mg / 40 µg);2024
Är en människas tunga längre eller kortare än ett pekfinger?;anatomisk uppskattning (tunga ~10 cm, pekfinger ~7,5 cm);2023
Är ett barnbarn äldre eller yngre än sin mormor?;typiskt familjeexempel;2024
Har en vuxen fler eller färre tår än tänder?;allmän anatomi (tår 10, vuxentänder 32);2024
Är alla blodådror i kroppen sammanlagt längre eller kortare än ett varv runt jorden?;Britannica/National Geographic (blodkärl ~100 000 km, jordens omkrets ~40 000 km);2023
Är ett öga tyngre eller lättare än en tand?;anatomisk litteratur (ögonglob ~7,5 g; permanent tand i snitt ~1 g, intervall 0,4-3,0 g);2024
Är en sexårig son längre eller kortare än sin pappa?;svenska tillväxtkurvor (6-åring ~115 cm, vuxen man ~180 cm);2024
Har en människa fler eller färre ben i ena foten än fingrar på en hand?;anatomi (foten 26 ben, handen 5 fingrar);2024
Väger en vuxens fot mer eller mindre än huvudet?;anatomisk uppskattning (huvud ~5 kg, fot ~1 kg);2023
Är en människas skägg som längst längre eller kortare än ögonfransarna?;Guinness/hårfysiologi (skägg kan bli >30 cm, ögonfransar ~1 cm);2023
Är en människas tarmar sammanlagt längre eller kortare än en buss?;Britannica (mag-tarmkanal ~8 m, stadsbuss ~12 m);2023
Är det varmare eller kallare på huden än inuti kroppen?;fysiologilitteratur (hudtemperatur ~33 °C, kärntemperatur 37 °C);2023
Klarar en människa fler eller färre dagar utan mat än utan vatten?;medicinsk litteratur (utan vatten ~3 dygn, utan mat ~30 dygn);2023
Är en vuxens lillfinger längre eller kortare än tummen?;antropometrisk data (tumme ~6 cm, lillfinger ~5,5 cm);2023
Är ett nyfött barns fotsula längre eller kortare än en vuxens?;antropometrisk standarddata (nyfödd ~7,5 cm, vuxen ~26 cm);2023
