fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en tomat mer eller mindre än en lök?;Tomat;Lök;120;110;gram;Hur många gram skiljer det?
Väger ett päron mer eller mindre än en mango?;Päron;Mango;160;220;gram;Hur många gram skiljer det?
Har en kanelsnurra fler eller färre kalorier än en bulle med vaniljkräm?;Kanelsnurra;Bulle med vaniljkräm;240;260;kalorier;Hur många kalorier skiljer det?
Väger en chokladboll mer eller mindre än en mazarin?;Chokladboll;Mazarin;40;65;gram;Hur många gram skiljer det?
Har en kola fler eller färre kalorier än en gelébit?;Kola;Gelébit;20;16;kalorier;Hur många kalorier skiljer det?
Väger en sockerbit mer eller mindre än ett russin?;Sockerbit;Russin;3;0,3;gram;Hur många gram skiljer det?
Väger en köttbullsmacka mer eller mindre än en köttfärslimpa?;Köttbullsmacka;Köttfärslimpa;250;700;gram;Hur många gram skiljer det?
Har en pannkaka med sylt fler eller färre kalorier än en glass i bägare?;Pannkaka med sylt;Glass i bägare;130;180;kalorier;Hur många kalorier skiljer det?
Är en saltgurka längre eller kortare än en purjolök?;Saltgurka;Purjolök;9;30;centimeter;Hur många centimeter skiljer det?
Väger en chokladpralin mer eller mindre än en kola?;Chokladpralin;Kola;12;4;gram;Hur många gram skiljer det?
Är en chokladstång längre eller kortare än en lakritsstång?;Chokladstång;Lakritsstång;10;15;centimeter;Hur många centimeter skiljer det?
Väger en gräddbulle mer eller mindre än en pepparkaka?;Gräddbulle;Pepparkaka;80;12;gram;Hur många gram skiljer det?
Har en skiva knäckebröd fler eller färre kalorier än en skiva vitt bröd?;Skiva knäckebröd;Skiva vitt bröd;35;75;kalorier;Hur många kalorier skiljer det?
Väger en schalottenlök mer eller mindre än en hel vitlök?;Schalottenlök;Hel vitlök;20;50;gram;Hur många gram skiljer det?
Väger en strut hallon mer eller mindre än en strut blåbär?;Strut hallon;Strut blåbär;125;150;gram;Hur många gram skiljer det?
Är en glasstrut längre eller kortare än en chokladstång?;Glasstrut;Chokladstång;13;10;centimeter;Hur många centimeter skiljer det?
Väger en hel ananas mer eller mindre än en hel honungsmelon?;Hel ananas;Hel honungsmelon;1000;1800;gram;Hur många gram skiljer det?
Har en chokladmuffins fler eller färre kalorier än en muffins utan fyllning?;Chokladmuffins;Muffins;420;360;kalorier;Hur många kalorier skiljer det?
Väger en pumpa mer eller mindre än en gurka?;Pumpa;Gurka;4000;300;gram;Hur många gram skiljer det?
Väger en marshmallow mer eller mindre än en gummibjörn?;Marshmallow;Gummibjörn;8;2;gram;Hur många gram skiljer det?
Har en skål müsli fler eller färre kalorier än en skål havregrynsgröt?;Müsli;Havregrynsgröt;220;150;kalorier;Hur många kalorier skiljer det?
Väger en hel kålrot mer eller mindre än en hel rödbeta?;Hel kålrot;Hel rödbeta;800;130;gram;Hur många gram skiljer det?
Är ett kex längre eller kortare än en grissinistång?;Kex;Grissinistång;5;20;centimeter;Hur många centimeter skiljer det?
Väger en hel chokladkaka mer eller mindre än en kula glass?;Hel chokladkaka;Kula glass;100;60;gram;Hur många gram skiljer det?
Väger en hel vindruvsklase mer eller mindre än ett enda russin?;Vindruvsklase;Russin;500;0,3;gram;Hur många gram skiljer det?
Väger en hel vattenmelon mer eller mindre än ett enda solrosfrö?;Vattenmelon;Solrosfrö;5000;0,05;gram;Hur många gram skiljer det?
