fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger ett lejon mer eller mindre än en katt?;Lejon;Katt;190;4,5;kilo;Hur många kilo skiljer det?
Väger en get mer eller mindre än en höna?;Get;Höna;60;2,5;kilo;Hur många kilo skiljer det?
Väger ett marsvin mer eller mindre än en ekorre?;Marsvin;Ekorre;1;0,3;kilo;Hur många kilo skiljer det?
Väger ett marsvin mer eller mindre än en hamster?;Marsvin;Hamster;1;0,12;kilo;Hur många kilo skiljer det?
Är en vithaj längre eller kortare än en guldfisk?;Vithaj;Guldfisk;6;0,1;meter;Hur många meter skiljer det?
Är en snok längre eller kortare än en daggmask?;Snok;Daggmask;1;0,15;meter;Hur många meter skiljer det?
Väger ett bi mer eller mindre än en spindel?;Bi;Spindel;0,1;0,5;gram;Hur många gram skiljer det?
Springer en katt snabbare eller långsammare än en igelkott?;Katt;Igelkott;48;8;km/h;Hur många km/h skiljer det?
Väger ett lejon mer eller mindre än en björn?;Lejon;Björn;190;300;kilo;Hur många kilo skiljer det?
Väger en ko mer eller mindre än ett får?;Ko;Får;600;80;kilo;Hur många kilo skiljer det?
Väger en gris mer eller mindre än ett får?;Gris;Får;110;80;kilo;Hur många kilo skiljer det?
Väger en höna mer eller mindre än en tupp?;Höna;Tupp;2,5;3;kilo;Hur många kilo skiljer det?
Väger en ko mer eller mindre än en häst?;Ko;Häst;600;500;kilo;Hur många kilo skiljer det?
Väger en knölval mer eller mindre än en delfin?;Knölval;Delfin;30000;150;kilo;Hur många kilo skiljer det?
Väger en spindel mer eller mindre än en geting?;Spindel;Geting;0,5;0,06;gram;Hur många gram skiljer det?
Väger en mus mer eller mindre än en kanin?;Mus;Kanin;0,02;2;kilo;Hur många kilo skiljer det?
Väger en igelkott mer eller mindre än en ekorre?;Igelkott;Ekorre;1;0,3;kilo;Hur många kilo skiljer det?
Väger en björn mer eller mindre än en varg?;Björn;Varg;300;45;kilo;Hur många kilo skiljer det?
Är en vithaj längre eller kortare än en snok?;Vithaj;Snok;6;1;meter;Hur många meter skiljer det?
Är en häst högre eller lägre än en get?;Häst;Get;1,6;0,9;meter;Hur många meter skiljer det?
Är en påfågel längre eller kortare än en tupp?;Påfågel;Tupp;1,1;0,7;meter;Hur många meter skiljer det?
Väger en räv mer eller mindre än en kanin?;Räv;Kanin;6;2;kilo;Hur många kilo skiljer det?
Väger ett bi mer eller mindre än en mygga?;Bi;Mygga;0,1;0,0025;gram;Hur många gram skiljer det?
Är en daggmask längre eller kortare än en snigel?;Daggmask;Snigel;0,15;0,07;meter;Hur många meter skiljer det?
Är en papegoja längre eller kortare än en undulat?;Papegoja;Undulat;0,35;0,18;meter;Hur många meter skiljer det?
Väger en höna mer eller mindre än en kyckling?;Höna;Kyckling;2,5;0,05;kilo;Hur många kilo skiljer det?
Väger ett får mer eller mindre än en hare?;Får;Hare;80;4;kilo;Hur många kilo skiljer det?
