fråga;källa;år
Har Björn Nordqvist fler eller färre A-landskamper för Sverige än Alexander Isak?;Wikipedia: Björn Nordqvist (115 caps); Transfermarkt: Alexander Isak nationalmannschaft (61 caps, uppd. 2026-06-03);2026
Har Olof Mellberg fler eller färre A-landskamper för Sverige än Dejan Kulusevski?;Wikipedia: Olof Mellberg (117 caps); national-football-teams.com: Dejan Kulusevski (45 caps);2026
Har Roland Nilsson fler eller färre A-landskamper för Sverige än Glenn Strömberg?;Wikipedia: Roland Nilsson (116 caps); Wikipedia: Glenn Strömberg (52 caps);2025
Har Teddy Lučić fler eller färre A-landskamper för Sverige än Klas Ingesson?;Wikipedia: Teddy Lučić (86 caps); Wikipedia: Klas Ingesson (57 caps);2025
Har Glenn Hysén fler eller färre A-landskamper för Sverige än Victor Lindelöf?;Wikipedia: Glenn Hysén (68 caps); Transfermarkt: Victor Lindelöf (73 caps, uppd. 2025-12-09);2025
Har Bo Larsson fler eller färre A-landskamper för Sverige än Emil Krafth?;Wikipedia: Bo Larsson (70 caps); Wikipedia/Grokipedia: Emil Krafth (52 caps, per 2025-11-19);2025
Har Stefan Schwarz fler eller färre A-landskamper för Sverige än Jonas Thern?;Wikipedia: Stefan Schwarz (69 caps); Wikipedia: Jonas Thern (75 caps);2025
Har Ralf Edström fler eller färre A-landskamper för Sverige än Björn Nordqvist?;Wikipedia: Ralf Edström (40 caps); Wikipedia: Björn Nordqvist (115 caps);2025
Har Orvar Bergmark fler eller färre A-landskamper för Sverige än Alexander Isak?;Wikipedia: Orvar Bergmark (94 caps); Transfermarkt: Alexander Isak nationalmannschaft (61 caps, uppd. 2026-06-03);2026
Har Robert Prytz fler eller färre A-landskamper för Sverige än Ola Toivonen?;Wikipedia: Robert Prytz (56 caps); Wikipedia: Ola Toivonen (64 caps);2025
Har Nils Liedholm fler eller färre A-landskamper för Sverige än Olof Mellberg?;Wikipedia: Nils Liedholm (23 caps 1947-1958); Wikipedia: Olof Mellberg (117 caps);2025
Har Agne Simonsson fler eller färre A-landskamper för Sverige än Thomas Ravelli?;Wikipedia: Agne Simonsson (51 caps); Wikipedia: Thomas Ravelli (143 caps);2025
Har Ludwig Augustinsson fler eller färre A-landskamper för Sverige än Roland Nilsson?;Wikipedia: Ludwig Augustinsson (56 caps); Wikipedia: Roland Nilsson (116 caps);2025
Har Albin Ekdal fler eller färre A-landskamper för Sverige än Glenn Hysén?;Wikipedia: Albin Ekdal (70 caps, slutade i landslaget 2023); Wikipedia: Glenn Hysén (68 caps);2025
Har Gunnar Gren fler eller färre A-landskamper för Sverige än Teddy Lučić?;Wikipedia: Gunnar Gren (57 caps); Wikipedia: Teddy Lučić (86 caps);2025
Har Nils Liedholm fler eller färre A-landskamper för Sverige än Thomas Ravelli?;Wikipedia: Nils Liedholm (23 caps); Wikipedia: Thomas Ravelli (143 caps);2025
Har Martin Dahlin gjort fler eller färre A-landslagsmål för Sverige än Ola Toivonen?;Wikipedia: Martin Dahlin (29 mål); Wikipedia: Ola Toivonen (14 mål);2025
Har Sven Rydell gjort fler eller färre A-landslagsmål för Sverige än Dejan Kulusevski?;Wikipedia: Sven Rydell (49 mål); national-football-teams.com: Dejan Kulusevski (5 mål);2026
Har Henrik Larsson gjort fler eller färre A-landslagsmål för Sverige än Victor Lindelöf?;Wikipedia: Henrik Larsson (37 mål); Transfermarkt: Victor Lindelöf (3 mål);2025
Har Kurt Hamrin gjort fler eller färre A-landslagsmål för Sverige än Gunnar Gren?;Wikipedia: Kurt Hamrin (17 mål); Wikipedia: Gunnar Gren (32 mål);2025
Har Agne Simonsson gjort fler eller färre A-landslagsmål för Sverige än Bo Larsson?;Wikipedia: Agne Simonsson (27 mål); Wikipedia: Bo Larsson (17 mål);2025
Har Kennet Andersson gjort fler eller färre A-landslagsmål för Sverige än Dejan Kulusevski?;Wikipedia: Kennet Andersson (31 mål); national-football-teams.com: Dejan Kulusevski (5 mål);2026
Har Ralf Edström gjort fler eller färre A-landslagsmål för Sverige än Martin Dahlin?;Wikipedia: Ralf Edström (15 mål); Wikipedia: Martin Dahlin (29 mål);2025
Har Sven Rydell gjort fler eller färre A-landslagsmål för Sverige än Kurt Hamrin?;Wikipedia: Sven Rydell (49 mål); Wikipedia: Kurt Hamrin (17 mål);2025
Är Karlslunds IF en äldre eller yngre klubb än Täby FK? (2026);Wikipedia + karlslund.nu: Karlslunds IF grundad 1920-04-27; Wikipedia/svenskfotboll.se: Täby FK bildad 2012;2026
