fråga;källa;år
Har Christian Wilhelmsson fler eller färre A-landskamper för Sverige än Lennart Skoglund?;Wikipedia: Christian Wilhelmsson (79 landskamper); Wikipedia: Lennart "Nacka" Skoglund (11 landskamper);2025
Har Lennart Skoglund fler eller färre A-landskamper för Sverige än Joachim Björklund?;Wikipedia: Lennart "Nacka" Skoglund (11 landskamper); Wikipedia: Joachim Björklund (78 landskamper);2025
Har Viktor Gyökeres gjort fler eller färre A-landslagsmål för Sverige än Lennart Skoglund?;svenskfotboll.se: Gyökeres 20:e landslagsmål (5 juni 2026); Wikipedia: Lennart "Nacka" Skoglund (1 mål);2026
Har Lennart Skoglund gjort fler eller färre A-landslagsmål för Sverige än Kurt Hamrin?;Wikipedia: Lennart "Nacka" Skoglund (1 mål); Wikipedia: Kurt Hamrin (17 mål);2025
Har Robin Olsen fler eller färre A-landskamper för Sverige än Hasse Jeppson?;Wikipedia: Robin Olsen (79 landskamper, 2015-2025); Wikipedia: Hasse Jeppson (12 landskamper);2025
Har Hasse Jeppson fler eller färre A-landskamper för Sverige än Daniel Andersson?;Wikipedia: Hasse Jeppson (12 landskamper); Wikipedia: Daniel Andersson f.1977 (74 landskamper);2025
Har John Guidetti fler eller färre A-landskamper för Sverige än Håkan Mild?;Wikipedia: John Guidetti (29 landskamper); Wikipedia: Håkan Mild (74 landskamper);2025
Har Jimmy Durmaz gjort fler eller färre A-landslagsmål för Sverige än Kurt Hamrin?;Wikipedia/Transfermarkt: Jimmy Durmaz (3 mål); Wikipedia: Kurt Hamrin (17 mål);2025
Har John Guidetti gjort fler eller färre A-landslagsmål för Sverige än Viktor Gyökeres?;Wikipedia: John Guidetti (3 mål); svenskfotboll.se: Gyökeres 20 mål (5 juni 2026);2026
Har John Guidetti gjort fler eller färre A-landslagsmål för Sverige än Kurt Hamrin?;Wikipedia: John Guidetti (3 mål); Wikipedia: Kurt Hamrin (17 mål);2025
Har Jimmy Durmaz gjort fler eller färre A-landslagsmål för Sverige än Viktor Gyökeres?;Wikipedia/Transfermarkt: Jimmy Durmaz (3 mål); svenskfotboll.se: Gyökeres 20 mål (5 juni 2026);2026
Har Anders Limpar fler eller färre A-landskamper för Sverige än Hasse Jeppson?;Wikipedia: Anders Limpar (58 landskamper); Wikipedia: Hasse Jeppson (12 landskamper);2025
Har Anders Limpar fler eller färre A-landskamper för Sverige än Pontus Kåmark?;Wikipedia: Anders Limpar (58 landskamper); Wikipedia: Pontus Kåmark (57 landskamper);2025
Har Joachim Björklund fler eller färre A-landskamper för Sverige än Håkan Mild?;Wikipedia: Joachim Björklund (78 landskamper); Wikipedia: Håkan Mild (74 landskamper);2025
Har Pontus Kåmark fler eller färre A-landskamper för Sverige än Mattias Svanberg?;Wikipedia: Pontus Kåmark (57 landskamper); Bundesliga.com/Wikipedia: Mattias Svanberg (41 landskamper, juni 2026);2026
Har Pierre Bengtsson fler eller färre A-landskamper för Sverige än Gustav Svensson?;Wikipedia: Pierre Bengtsson (42 landskamper); Wikipedia: Gustav Svensson (32 landskamper);2025
Har Jimmy Durmaz fler eller färre A-landskamper för Sverige än Daniel Andersson?;Wikipedia: Jimmy Durmaz (49 landskamper); Wikipedia: Daniel Andersson f.1977 (74 landskamper);2025
Har Gustav Svensson fler eller färre A-landskamper för Sverige än Robin Olsen?;Wikipedia: Gustav Svensson (32 landskamper); Wikipedia: Robin Olsen (79 landskamper);2025
Har Anders Limpar fler eller färre A-landskamper för Sverige än Christian Wilhelmsson?;Wikipedia: Anders Limpar (58 landskamper); Wikipedia: Christian Wilhelmsson (79 landskamper);2025
Har Christian Wilhelmsson gjort fler eller färre A-landslagsmål för Sverige än Jimmy Durmaz?;Wikipedia: Christian Wilhelmsson (9 mål); Wikipedia/Transfermarkt: Jimmy Durmaz (3 mål);2025
Har Kurt Hamrin gjort fler eller färre A-landslagsmål för Sverige än Christian Wilhelmsson?;Wikipedia: Kurt Hamrin (17 mål); Wikipedia: Christian Wilhelmsson (9 mål);2025
Har Hasse Jeppson gjort fler eller färre A-landslagsmål för Sverige än Anders Limpar?;Wikipedia: Hasse Jeppson (9 mål); Wikipedia: Anders Limpar (6 mål);2025
Har Pierre Bengtsson fler eller färre A-landskamper för Sverige än Pontus Kåmark?;Wikipedia: Pierre Bengtsson (42 landskamper); Wikipedia: Pontus Kåmark (57 landskamper);2025
Har Robin Olsen fler eller färre A-landskamper för Sverige än Pierre Bengtsson?;Wikipedia: Robin Olsen (79 landskamper); Wikipedia: Pierre Bengtsson (42 landskamper);2025
Har Håkan Mild fler eller färre A-landskamper för Sverige än Mattias Svanberg?;Wikipedia: Håkan Mild (74 landskamper); Bundesliga.com/Wikipedia: Mattias Svanberg (41 landskamper, juni 2026);2026
Har Pontus Kåmark fler eller färre A-landskamper för Sverige än Joachim Björklund?;Wikipedia: Pontus Kåmark (57 landskamper); Wikipedia: Joachim Björklund (78 landskamper);2025
