fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en Lucid Air Sapphire fler eller färre hästkrafter än en Hyundai Inster?;Lucid Air Sapphire;Hyundai Inster;1234;97;hk;Hur många hästkrafter skiljer det?
Har en Citroën ë-C4 fler eller färre hästkrafter än en Lucid Air Sapphire?;Citroën ë-C4;Lucid Air Sapphire;136;1234;hk;Hur många hästkrafter skiljer det?
Har en Audi RS e-tron GT performance fler eller färre hästkrafter än en Hyundai Inster?;Audi RS e-tron GT performance;Hyundai Inster;912;97;hk;Hur många hästkrafter skiljer det?
Kostade en MG4 mer eller mindre än en Rolls-Royce Spectre? (2024);MG4;Rolls-Royce Spectre;330000;6400000;kr;Hur många kronor skiljer priset?
Har en Genesis GV60 Performance fler eller färre hästkrafter än en Mini Cooper SE?;Genesis GV60 Performance;Mini Cooper SE;490;181;hk;Hur många hästkrafter skiljer det?
Har en Kia Niro EV fler eller färre hästkrafter än en BMW i7 M70?;Kia Niro EV;BMW i7 M70;204;660;hk;Hur många hästkrafter skiljer det?
Har en Ford Mustang Mach-E GT fler eller färre hästkrafter än en Peugeot e-208?;Ford Mustang Mach-E GT;Peugeot e-208;487;154;hk;Hur många hästkrafter skiljer det?
Har en BYD Dolphin fler eller färre hästkrafter än en Hyundai Ioniq 5 N?;BYD Dolphin;Hyundai Ioniq 5 N;204;650;hk;Hur många hästkrafter skiljer det?
Har en Kia EV9 GT fler eller färre hästkrafter än en MG4?;Kia EV9 GT;MG4;501;170;hk;Hur många hästkrafter skiljer det?
Har en Hyundai Kona Electric fler eller färre hästkrafter än en Mercedes-AMG EQE 53?;Hyundai Kona Electric;Mercedes-AMG EQE 53;218;626;hk;Hur många hästkrafter skiljer det?
Har en Mercedes-AMG EQS 53 fler eller färre hästkrafter än en Renault Mégane E-Tech?;Mercedes-AMG EQS 53;Renault Mégane E-Tech;658;220;hk;Hur många hästkrafter skiljer det?
Har en Peugeot e-2008 fler eller färre hästkrafter än en Cadillac Lyriq?;Peugeot e-2008;Cadillac Lyriq AWD;156;515;hk;Hur många hästkrafter skiljer det?
Har en BMW i5 M60 fler eller färre hästkrafter än en BYD Atto 3?;BMW i5 M60;BYD Atto 3;601;204;hk;Hur många hästkrafter skiljer det?
Har en Kia EV3 fler eller färre hästkrafter än en Polestar 4?;Kia EV3;Polestar 4 Long Range Dual Motor;204;544;hk;Hur många hästkrafter skiljer det?
Har en Volvo EX90 fler eller färre hästkrafter än en Volkswagen ID.3?;Volvo EX90;Volkswagen ID.3 Pro;517;204;hk;Hur många hästkrafter skiljer det?
Har en Peugeot e-2008 fler eller färre hästkrafter än en Genesis GV70 Electrified?;Peugeot e-2008;Genesis GV70 Electrified;156;490;hk;Hur många hästkrafter skiljer det?
Har en BMW iX M60 fler eller färre hästkrafter än en Kia EV3?;BMW iX M60;Kia EV3;619;204;hk;Hur många hästkrafter skiljer det?
Har en BMW i4 M50 fler eller färre hästkrafter än en BYD Dolphin?;BMW i4 M50;BYD Dolphin;544;204;hk;Hur många hästkrafter skiljer det?
Har en Kia Niro EV fler eller färre hästkrafter än en Volvo EX90?;Kia Niro EV;Volvo EX90;204;517;hk;Hur många hästkrafter skiljer det?
Har en BMW i5 M60 fler eller färre hästkrafter än en Hyundai Kona Electric?;BMW i5 M60;Hyundai Kona Electric;601;218;hk;Hur många hästkrafter skiljer det?
Har en Volkswagen ID.3 fler eller färre hästkrafter än en Hyundai Ioniq 5 N?;Volkswagen ID.3 Pro;Hyundai Ioniq 5 N;204;650;hk;Hur många hästkrafter skiljer det?
Har en Mercedes-AMG EQS 53 fler eller färre hästkrafter än en BYD Atto 3?;Mercedes-AMG EQS 53;BYD Atto 3;658;204;hk;Hur många hästkrafter skiljer det?
Har en Renault Mégane E-Tech fler eller färre hästkrafter än en BMW iX M60?;Renault Mégane E-Tech;BMW iX M60;220;619;hk;Hur många hästkrafter skiljer det?
Har en Volvo C40 längre eller kortare räckvidd än en Polestar 4?;Volvo C40;Polestar 4 Long Range Dual Motor;434;590;km;Hur många km skiljer WLTP-räckvidden?
Tar en Lexus RZ 450e längre eller kortare tid på 0–100 km/h än en Tesla Model 3 Performance?;Lexus RZ 450e;Tesla Model 3 Performance;5,3;3,1;sekunder;Hur många sekunder skiljer accelerationen?
Har en BMW i4 M50 större eller mindre användbar batterikapacitet än en Volvo EX30?;BMW i4 M50;Volvo EX30;80,7;64;kWh;Hur många kWh skiljer batterikapaciteten?
Har en Tesla Model 3 Long Range längre eller kortare räckvidd än en Smart #3?;Tesla Model 3 Long Range;Smart #3;629;455;km;Hur många km skiljer WLTP-räckvidden?
Tar en Renault Scénic E-Tech längre eller kortare tid på 0–100 km/h än en Genesis GV70 Electrified?;Renault Scénic E-Tech;Genesis GV70 Electrified;7,9;4,4;sekunder;Hur många sekunder skiljer accelerationen?
Har en Genesis GV60 Performance större eller mindre användbar batterikapacitet än en Cadillac Lyriq?;Genesis GV60 Performance;Cadillac Lyriq AWD;74;102;kWh;Hur många kWh skiljer batterikapaciteten?
