fråga;källa;år
Registrerades det fler eller färre bichon havanais än labrador retriever hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01; bekräftad via SSRK 2024-01-13);2023
Registrerades det fler eller färre golden retriever än drever hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre mellanpudel än tysk schäferhund hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre labrador retriever än cocker spaniel hos SKK 2023?;SKK registreringsstatistik 2023; cocker spaniel bekräftad av SSRK (ssrk.se 2024-01-13: 1 037);2023
Registrerades det fler eller färre tax strävhårig normalstor än golden retriever hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre labrador retriever än border collie hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre drever än tysk schäferhund hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre labrador retriever än staffordshire bullterrier hos SKK 2023?;SKK registreringsstatistik 2023; staffordshire bullterrier bekräftad (skk.se nyheter 2024-01: 964);2023
Registrerades det fler eller färre australian shepherd än golden retriever hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre finsk lapphund än labrador retriever hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre jämthund än australian shepherd hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre tysk schäferhund än cocker spaniel hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01; SSRK 2024-01-13);2023
Registrerades det fler eller färre golden retriever än staffordshire bullterrier hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre jämthund än border collie hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre tysk schäferhund än bichon havanais hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre dansk-svensk gårdshund än cocker spaniel hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre jämthund än finsk lapphund hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
Registrerades det fler eller färre fransk bulldogg än bichon havanais hos SKK 2023?;SKK registreringsstatistik 2023, topp 20-listan (skk.se nyheter 2024-01);2023
