fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en pygmémus mer eller mindre än ett vildsvin?;Pygmémus;Vildsvin;0,007;90;kilo;Hur många kilo skiljer det?
Väger en sjöhäst mer eller mindre än en mårdhund?;Sjöhäst;Mårdhund;0,01;5;kilo;Hur många kilo skiljer det?
Väger en näbbmus mer eller mindre än ett jordsvin?;Näbbmus;Jordsvin;0,01;65;kilo;Hur många kilo skiljer det?
Väger en spetsekorre mer eller mindre än en mandrill?;Spetsekorre;Mandrill;0,1;30;kilo;Hur många kilo skiljer det?
Är en saltvattenskrokodil längre eller kortare än en blåtungad skink?;Saltvattenskrokodil;Blåtungad skink;5;0,45;meter;Hur många meter skiljer det?
Väger en tukan mer eller mindre än en marabustork?;Tukan;Marabustork;0,6;6;kilo;Hur många kilo skiljer det?
Är en axolotl längre eller kortare än en komodovaran?;Axolotl;Komodovaran;25;250;centimeter;Hur många centimeter skiljer det?
Är en eldsalamander tyngre eller lättare än en lövgroda?;Eldsalamander;Lövgroda;40;5;gram;Hur många gram skiljer det?
Väger ett jordsvin mer eller mindre än en halsbandspekari?;Jordsvin;Halsbandspekari;65;25;kilo;Hur många kilo skiljer det?
Lever en lemur längre eller kortare än en vessla?;Lemur;Vessla;27;7;år;Hur många år skiljer det?
Är vingbredden på en marabustork större eller mindre än på en kungsörn?;Marabustork;Kungsörn;2,6;2,3;meter;Hur många meter skiljer det?
Lever en flamingo längre eller kortare än en knölsvan?;Flamingo;Knölsvan;60;15;år;Hur många år skiljer det?
Lever en tuatara längre eller kortare än en koikarp?;Tuatara;Koikarp;100;25;år;Hur många år skiljer det?
Simmar en segelfisk fortare eller långsammare än en flygfisk?;Segelfisk;Flygfisk;109;70;km/h;Hur många km/h skiljer det?
Simmar en makohaj fortare eller långsammare än en segelfisk?;Makohaj;Segelfisk;74;109;km/h;Hur många km/h skiljer det?
Väger en mandrill mer eller mindre än ett jordsvin?;Mandrill;Jordsvin;30;65;kilo;Hur många kilo skiljer det?
Är näbben på en tukan längre eller kortare än på en pelikan?;Tukan;Pelikan;20;35;centimeter;Hur många centimeter skiljer det?
Väger en kapybara mer eller mindre än en utter?;Kapybara;Utter;60;12;kilo;Hur många kilo skiljer det?
Är dräktighetstiden för ett vildsvin längre eller kortare än för ett får?;Vildsvin;Får;115;147;dygn;Hur många dygn skiljer det?
Väger ett myrkott mer eller mindre än en tasmansk djävul?;Myrkott;Tasmansk djävul;30;8;kilo;Hur många kilo skiljer det?
Ruvas ett strutsägg längre eller kortare än ett hönsägg?;Strutsägg;Hönsägg;42;21;dygn;Hur många dygn skiljer det?
Springer en halsbandspekari fortare eller långsammare än en grävling?;Halsbandspekari;Grävling;56;30;km/h;Hur många km/h skiljer det?
Väger en flamingo mer eller mindre än en pelikan?;Flamingo;Pelikan;2;7;kilo;Hur många kilo skiljer det?
Har en okapi högre eller lägre mankhöjd än en halsbandspekari?;Okapi;Halsbandspekari;1,5;0,5;meter;Hur många meter skiljer det?
Lever en tasmansk djävul längre eller kortare än ett vårtsvin?;Tasmansk djävul;Vårtsvin;6;13;år;Hur många år skiljer det?
Är dräktighetstiden för en bison längre eller kortare än för en människa?;Bison;Människa;285;280;dygn;Hur många dygn skiljer det?
Har en kapucinapa längre eller kortare kropp än en mandrill?;Kapucinapa;Mandrill;45;80;centimeter;Hur många centimeter skiljer det?
