fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är en klarinett längre eller kortare än en tvärflöjt?;Klarinett;Tvärflöjt;66;67;centimeter;Hur många centimeter skiljer det?
Fick Carolas Fångad av en stormvind fler eller färre poäng i Eurovision 1991 än Herreys Diggi-Loo Diggi-Ley fick 1984?;Carolas Fångad av en stormvind;Herreys Diggi-Loo Diggi-Ley;146;145;poäng;Hur många poäng skiljer det?
Gav ABBA ut fler eller färre studioalbum än The Beatles?;ABBA;The Beatles;9;12;studioalbum;Hur många studioalbum skiljer det?
Har en fiol fler eller färre strängar än en gitarr?;Fiol;Gitarr;4;6;strängar;Hur många strängar skiljer det?
Är en cello längre eller kortare än en fiol?;Cello;Fiol;120;60;centimeter;Hur många centimeter skiljer det?
Är Queens Bohemian Rhapsody längre eller kortare än ABBAs Waterloo?;Queens Bohemian Rhapsody;ABBAs Waterloo;355;162;sekunder;Hur många sekunder skiljer det?
Är Elvis Presleys Jailhouse Rock längre eller kortare än Avicii-låten Wake Me Up?;Elvis Presleys Jailhouse Rock;Avicii-låten Wake Me Up;155;249;sekunder;Hur många sekunder skiljer det?
Fick Loreens Tattoo fler eller färre poäng i Eurovision-finalen 2023 än Måns Zelmerlöws Heroes fick 2015?;Loreens Tattoo;Måns Zelmerlöws Heroes;583;365;poäng;Hur många poäng skiljer det?
Har Michael Jacksons album Thriller sålt fler eller färre exemplar än The Beatles Sgt Pepper's Lonely Hearts Club Band?;Michael Jacksons Thriller;The Beatles Sgt Pepper;70;32;miljoner exemplar;Hur många miljoner exemplar skiljer det?
Har Loreen vunnit Melodifestivalen fler eller färre gånger än Carola?;Loreen;Carola;2;3;vinster;Hur många vinster skiljer det?
Har Queen gett ut fler eller färre studioalbum än ABBA?;Queen;ABBA;15;9;studioalbum;Hur många studioalbum skiljer det?
Snurrar en vinylsingel fler eller färre varv per minut än en LP-skiva?;Vinylsingel;LP-skiva;45;33,3;varv per minut;Hur många varv per minut skiljer det?
Har en konsertharpa fler eller färre strängar än en flygel?;Konsertharpa;Flygel;47;230;strängar;Hur många strängar skiljer det?
Hade Roxette fler eller färre listettor på amerikanska Billboard-listan än ABBA?;Roxette;ABBA;4;1;listettor;Hur många listettor skiljer det?
Skrev Beethoven fler eller färre symfonier än Mozart?;Beethoven;Mozart;9;41;symfonier;Hur många symfonier skiljer det?
Är Beatles-låten Yesterday längre eller kortare än Hey Jude?;Beatles-låten Yesterday;Beatles-låten Hey Jude;125;431;sekunder;Hur många sekunder skiljer det?
Har en symfoniorkester fler eller färre musiker än ett storband?;Symfoniorkester;Storband;100;17;musiker;Hur många musiker skiljer det?
Väger en altsaxofon mer eller mindre än en tuba?;Altsaxofon;Tuba;2,5;10;kilo;Hur många kilo skiljer det?
Har en konsertbastrumma större eller mindre diameter än en virveltrumma?;Konsertbastrumma;Virveltrumma;90;35;centimeter;Hur många centimeter skiljer det?
Är en kontrabas längre eller kortare än en fiol?;Kontrabas;Fiol;180;60;centimeter;Hur många centimeter skiljer det?
Är Queens We Will Rock You längre eller kortare än Bohemian Rhapsody?;Queens We Will Rock You;Queens Bohemian Rhapsody;122;355;sekunder;Hur många sekunder skiljer det?
Fick Loreens Euphoria fler eller färre poäng i Eurovision 2012 än ABBAs Waterloo fick 1974?;Loreens Euphoria;ABBAs Waterloo;372;24;poäng;Hur många poäng skiljer det?
Har en gitarr fler eller färre strängar än en konsertharpa?;Gitarr;Konsertharpa;6;47;strängar;Hur många strängar skiljer det?
Väger en tuba mer eller mindre än en tvärflöjt?;Tuba;Tvärflöjt;10;0,4;kilo;Hur många kilo skiljer det?
Väger en elgitarr mer eller mindre än en konsertflygel?;Elgitarr;Konsertflygel;4;480;kilo;Hur många kilo skiljer det?
Har en stråkkvartett fler eller färre musiker än en symfoniorkester?;Stråkkvartett;Symfoniorkester;4;100;musiker;Hur många musiker skiljer det?
