fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är kroppspulsådern (aortan) grövre eller smalare än en hårfin kapillär?;Aortan;Kapillär;25;0,008;millimeter;Hur många millimeter skiljer det?
Väger stigbygelmuskeln, kroppens minsta muskel, mer eller mindre än den stora sätesmuskeln?;Stigbygelmuskeln;Stora sätesmuskeln;0,001;1000;gram;Hur många gram skiljer det?
Väger bukspottkörteln mer eller mindre än en bisköldkörtel?;Bukspottkörteln;Bisköldkörtel;90;0,04;gram;Hur många gram skiljer det?
Är en spermies huvud större eller mindre i diameter än äggcellen, kroppens största cell?;Spermiehuvud;Äggcellen;0,005;0,12;millimeter;Hur många millimeter skiljer det?
Är tjocktarmen längre eller kortare än blindtarmsbihanget?;Tjocktarmen;Blindtarmsbihanget;1,5;0,09;meter;Hur många meter skiljer det?
Väger hypofysen mer eller mindre än sköldkörteln?;Hypofysen;Sköldkörteln;0,6;25;gram;Hur många gram skiljer det?
Väger en binjure mer eller mindre än en njure?;Binjure;Njure;5;150;gram;Hur många gram skiljer det?
Väger mjälten mer eller mindre än hypofysen?;Mjälten;Hypofysen;150;0,6;gram;Hur många gram skiljer det?
Är hornhinnan tunnare eller tjockare än vad ögongloben mäter i diameter?;Hornhinnan;Ögongloben;0,5;24;millimeter;Hur många millimeter skiljer det?
Är tjocktarmen grövre eller smalare än tunntarmen?;Tjocktarmen;Tunntarmen;7;2,5;centimeter;Hur många centimeter skiljer det?
Är ett mellanhandsben längre eller kortare än skenbenet?;Mellanhandsben;Skenbenet;6,5;36;centimeter;Hur många centimeter skiljer det?
Väger sköldkörteln mer eller mindre än en binjure?;Sköldkörteln;Binjure;25;5;gram;Hur många gram skiljer det?
Väger bukspottkörteln mer eller mindre än sköldkörteln?;Bukspottkörteln;Sköldkörteln;90;25;gram;Hur många gram skiljer det?
Väger mjälten mer eller mindre än en lunga?;Mjälten;Ena lungan;150;600;gram;Hur många gram skiljer det?
Är ögongloben större eller mindre i diameter än ögats lins?;Ögongloben;Ögats lins;24;9;millimeter;Hur många millimeter skiljer det?
Är ögongloben större eller mindre i diameter än vad hjärtat är långt?;Ögongloben;Hjärtat;2,4;12;centimeter;Hur många centimeter skiljer det?
Är urinröret hos en kvinna längre eller kortare än hos en man?;Kvinnans urinrör;Mannens urinrör;4;20;centimeter;Hur många centimeter skiljer det?
Väger den vänstra lungan mer eller mindre än den högra?;Vänstra lungan;Högra lungan;550;600;gram;Hur många gram skiljer det?
Är hörselbenet hammaren längre eller kortare än städet i mellanörat?;Hammaren;Städet;8;7;millimeter;Hur många millimeter skiljer det?
Väger en mans hjärna i snitt mer eller mindre än en kvinnas?;Mannens hjärna;Kvinnans hjärna;1400;1250;gram;Hur många gram skiljer det?
Har handen fler eller färre ben än foten?;Handen;Foten;27;26;ben;Hur många ben skiljer det?
Väger hela skelettet mer eller mindre än allt blod i kroppen?;Skelettet;Blodet;10,5;5;kilo;Hur många kilo skiljer det?
Har ryggraden fler eller färre ländkotor än halskotor?;Ländkotor;Halskotor;5;7;stycken;Hur många stycken skiljer det?
Är bukspottkörteln längre eller kortare än tolvfingertarmen?;Bukspottkörteln;Tolvfingertarmen;15;25;centimeter;Hur många centimeter skiljer det?
Är ögats lins större eller mindre i diameter än hornhinnan?;Ögats lins;Hornhinnan;9;11,5;millimeter;Hur många millimeter skiljer det?
Har ryggraden fler eller färre kotor än kroppen har revben?;Ryggkotor;Revben;33;24;stycken;Hur många stycken skiljer det?
