fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Argentina fler eller färre invånare än Colombia? (2024);Argentina;Colombia;46;53;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Spanien fler eller färre invånare än Polen? (2024);Spanien;Polen;48;38;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Nigeria fler eller färre invånare än Kenya? (2024);Nigeria;Kenya;233;56;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Vietnam fler eller färre invånare än Egypten? (2024);Vietnam;Egypten;100;117;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Sydafrika fler eller färre invånare än Etiopien? (2024);Sydafrika;Etiopien;63;132;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Etiopien fler eller färre invånare än Marocko? (2024);Etiopien;Marocko;132;38;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Filippinerna fler eller färre invånare än Chile? (2024);Filippinerna;Chile;113;19,5;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Kenya fler eller färre invånare än Indonesien? (2024);Kenya;Indonesien;56;281;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Peru fler eller färre invånare än Indien? (2024);Peru;Indien;34;1428;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Spanien större eller mindre än Turkiet till ytan?;Spanien;Turkiet;506;783;tusen km²;Hur många tusen km² skiljer det?
Är Chile större eller mindre än Colombia till ytan?;Chile;Colombia;756;1142;tusen km²;Hur många tusen km² skiljer det?
Är Mongoliet större eller mindre än Thailand till ytan?;Mongoliet;Thailand;1564;513;tusen km²;Hur många tusen km² skiljer det?
Är Indonesien större eller mindre än Argentina till ytan?;Indonesien;Argentina;1905;2780;tusen km²;Hur många tusen km² skiljer det?
Är Saudiarabien större eller mindre än Marocko till ytan?;Saudiarabien;Marocko;2150;447;tusen km²;Hur många tusen km² skiljer det?
Är Pakistan större eller mindre än Peru till ytan?;Pakistan;Peru;881;1285;tusen km²;Hur många tusen km² skiljer det?
Är Vietnam större eller mindre än Polen till ytan?;Vietnam;Polen;331;313;tusen km²;Hur många tusen km² skiljer det?
Är Nigeria större eller mindre än Kazakstan till ytan?;Nigeria;Kazakstan;924;2725;tusen km²;Hur många tusen km² skiljer det?
Är Iran större eller mindre än Turkiet till ytan?;Iran;Turkiet;1648;783;tusen km²;Hur många tusen km² skiljer det?
Har Madrids storstadsområde fler eller färre invånare än Lagos? (2024);Madrid;Lagos;6,7;16;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Bangkoks storstadsområde fler eller färre invånare än Sydney? (2024);Bangkok;Sydney;17,5;5,5;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Torontos storstadsområde fler eller färre invånare än Jakarta? (2024);Toronto;Jakarta;7,1;32;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Bogotás storstadsområde fler eller färre invånare än Sydney? (2024);Bogotá;Sydney;11,7;5,5;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Londons storstadsområde fler eller färre invånare än Buenos Aires? (2024);London;Buenos Aires;9,8;15,4;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Mexico Citys storstadsområde fler eller färre invånare än Madrid? (2024);Mexico City;Madrid;22;6,7;miljoner invånare;Hur många miljoner invånare skiljer det?
Har Istanbuls storstadsområde fler eller färre invånare än Rom? (2024);Istanbul;Rom;15,8;4,3;miljoner invånare;Hur många miljoner invånare skiljer det?
Är ön Sri Lanka större eller mindre än Irland till ytan?;Sri Lanka;Irland;65,6;84;tusen km²;Hur många tusen km² skiljer det?
Är ön Sicilien större eller mindre än Kreta till ytan?;Sicilien;Kreta;25,7;8,3;tusen km²;Hur många tusen km² skiljer det?
Är ön Sardinien större eller mindre än Cypern till ytan?;Sardinien;Cypern;24;9,25;tusen km²;Hur många tusen km² skiljer det?
