fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en människa fler eller färre kromosomer än en schimpans?;Människa;Schimpans;46;48;kromosomer;Hur många kromosomer skiljer det?
Har ena handen fler eller färre leder än ena foten?;Handen;Foten;27;33;leder;Hur många leder skiljer det?
Är ena ögats lins lättare eller tyngre än ögongloben i sin helhet?;Ögats lins;Hela ögongloben;0,2;7,5;gram;Hur många gram skiljer det?
Har en kvinna i snitt fler eller färre hårstrån på huvudet än en man?;Kvinna;Man;150;100;tusen hårstrån;Hur många tusen hårstrån skiljer det?
Rymmer urinblåsan mer eller mindre vätska än magsäcken kan rymma?;Urinblåsan;Magsäcken;0,5;1,5;liter;Hur många liter skiljer det?
Förbränner en vuxen fler eller färre kalorier i vila per dygn än under en timmes löpning?;Vila per dygn;En timmes löpning;1600;500;kilokalorier;Hur många kilokalorier skiljer det?
Har ögats näthinna fler stavar än tappar?;Stavar;Tappar;120;6;miljoner;Hur många miljoner skiljer det?
Väger en vuxens vänstra hjärnhalva mer eller mindre än hela hjärnan?;Vänstra hjärnhalvan;Hela hjärnan;680;1300;gram;Hur många gram skiljer det?
Finns det fler tarmbakterier än egna kroppsceller (i biljoner)?;Tarmbakterier;Egna kroppsceller;38;30;biljoner;Hur många biljoner skiljer det?
Är navelsträngen vid födseln längre eller kortare än en nyfödds kroppslängd?;Navelsträngen;Nyfödds kroppslängd;55;50;centimeter;Hur många centimeter skiljer det?
Väger moderkakan vid födseln mer eller mindre än ett nyfött barn?;Moderkakan;Nyfött barn;0,5;3,5;kilo;Hur många kilo skiljer det?
Väger ett nyfött barn mer eller mindre än ett barn vid ett års ålder?;Nyfött barn;Ettåring;3,5;10;kilo;Hur många kilo skiljer det?
Har huden fler svettkörtlar än talgkörtlar (i miljoner)?;Svettkörtlar;Talgkörtlar;3;2;miljoner;Hur många miljoner skiljer det?
Är en vuxens midjeomkrets större eller mindre än huvudets omkrets?;Midjeomkrets;Huvudets omkrets;90;57;centimeter;Hur många centimeter skiljer det?
Far en nysning ut ur munnen snabbare eller långsammare än vindstyrkan i en orkan?;Nysning;Orkanvind;160;120;km/h;Hur många km/h skiljer det?
Innehåller kroppen mer kalcium än kalium (i gram)?;Kalcium;Kalium;1000;140;gram;Hur många gram skiljer det?
Bildas det fler nya röda blodkroppar än det dör celler totalt i kroppen varje sekund?;Nya röda blodkroppar;Döda celler;2,4;3,8;miljoner per sekund;Hur många miljoner per sekund skiljer det?
Är ögats synfält i sidled bredare eller smalare än i höjdled?;Synfält i sidled;Synfält i höjdled;200;130;grader;Hur många grader skiljer det?
Är en vuxen vaken fler eller färre timmar per dygn än ett spädbarn?;Vuxen vaken;Spädbarn vaken;16;8;timmar;Hur många timmar skiljer det?
Väger ett ben mer eller mindre än en arm (övre extremiteten)?;Benet;Armen;12;4;kilo;Hur många kilo skiljer det?
Är huden på fotsulan tjockare eller tunnare än huden på ögonlocket?;Fotsulans hud;Ögonlockets hud;3;0,5;millimeter;Hur många millimeter skiljer det?
Drar ett leende ihop fler eller färre muskler än en rynkad panna?;Leende;Rynkad panna;12;40;muskler;Hur många muskler skiljer det?
Producerar kroppen mer magsyra eller galla per dygn?;Magsyra per dygn;Galla per dygn;2;0,7;liter;Hur många liter skiljer det?
Andas en vuxen in mer eller mindre luft per andetag i vila än vid maximal ansträngning?;Andetag i vila;Maximalt andetag;0,5;3;liter;Hur många liter skiljer det?
Är tarmludden tillsammans större eller mindre yta än lungorna invändigt?;Tarmludden;Lungorna invändigt;250;80;kvadratmeter;Hur många kvadratmeter skiljer det?
Tar en hjärtcykel kortare eller längre tid än ett enda andetag i vila?;En hjärtcykel;Ett andetag;0,8;4;sekunder;Hur många sekunder skiljer det?
Väger allt fett på en normalviktig vuxen mer eller mindre än alla muskler?;Kroppsfett;Muskler;10;30;kilo;Hur många kilo skiljer det?
