fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vann Ingemar Stenmark fler eller färre världscupsegrar i alpint än Björn Borg vann Grand Slam-titlar i tennis?;Ingemar Stenmarks världscupsegrar;Björn Borgs Grand Slam-titlar;86;11;segrar;Hur många skiljer det?
Har Ace of Base-albumet "The Sign" sålt fler eller färre exemplar i världen än Europe-albumet "The Final Countdown"?;Ace of Base "The Sign";Europe "The Final Countdown";23;6;miljoner exemplar;Hur många miljoner exemplar skiljer det?
Har Sarah Sjöström tagit fler eller färre VM-guld i simning än Carolina Klüft tog VM-guld i friidrott?;Sarah Sjöströms VM-guld;Carolina Klüfts VM-guld;14;3;VM-guld;Hur många VM-guld skiljer det?
Har Vasamuseet fler eller färre besökare per år än Moderna museet? (2023);Vasamuseet;Moderna museet;1,2;0,4;miljoner besökare;Hur många miljoner besökare skiljer det?
Regisserade Ingmar Bergman fler eller färre långfilmer än Lasse Hallström?;Ingmar Bergmans långfilmer;Lasse Hallströms långfilmer;48;25;filmer;Hur många filmer skiljer det?
Är Kaknästornet högre eller lägre än arenan Globen (Avicii Arena)?;Kaknästornet;Globen;170;85;meter;Hur många meter skiljer det?
Har bandet Kent gett ut fler eller färre studioalbum än The Cardigans?;Kents studioalbum;The Cardigans studioalbum;12;6;album;Hur många album skiljer det?
Har Håkan Hellström gett ut fler eller färre studioalbum än Robyn?;Håkan Hellströms studioalbum;Robyns studioalbum;11;8;album;Hur många album skiljer det?
Är regalskeppet Vasa längre eller kortare än ostindiefararen Götheborg?;Regalskeppet Vasa;Ostindiefararen Götheborg;69;58,5;meter;Hur många meter skiljer det?
Gjorde Zlatan Ibrahimovic fler eller färre landslagsmål för Sverige än Henrik Larsson?;Zlatan Ibrahimovics landslagsmål;Henrik Larssons landslagsmål;62;37;mål;Hur många mål skiljer det?
Har Vasamuseet fler eller färre besökare per år än Moderna museet i Stockholm? (2022);Vasamuseet;Moderna museet Stockholm;0,9;0,5;miljoner besökare;Hur många miljoner besökare skiljer det?
Har Nationalmuseum fler eller färre besökare per år än Vasamuseet? (2023);Nationalmuseum;Vasamuseet;0,4;1,2;miljoner besökare;Hur många miljoner besökare skiljer det?
Har bandet Europe gett ut fler eller färre studioalbum än Kent?;Europes studioalbum;Kents studioalbum;11;12;album;Hur många album skiljer det?
Regisserade Lasse Hallström fler eller färre långfilmer än Ingmar Bergman?;Lasse Hallströms långfilmer;Ingmar Bergmans långfilmer;25;48;filmer;Hur många filmer skiljer det?
Tog Carolina Klüft fler eller färre VM-guld i friidrott än Sarah Sjöström tog VM-guld i simning?;Carolina Klüfts VM-guld;Sarah Sjöströms VM-guld;3;14;VM-guld;Hur många VM-guld skiljer det?
Har Moderna museet fler eller färre besökare per år än Vasamuseet? (2023);Moderna museet;Vasamuseet;0,4;1,2;miljoner besökare;Hur många miljoner besökare skiljer det?
Har Robyn gett ut fler eller färre studioalbum än Kent?;Robyns studioalbum;Kents studioalbum;8;12;album;Hur många album skiljer det?
Har The Cardigans gett ut fler eller färre studioalbum än Håkan Hellström?;The Cardigans studioalbum;Håkan Hellströms studioalbum;6;11;album;Hur många album skiljer det?
Är ostindiefararen Götheborg längre eller kortare än regalskeppet Vasa?;Ostindiefararen Götheborg;Regalskeppet Vasa;58,5;69;meter;Hur många meter skiljer det?
Har First Aid Kit gett ut fler eller färre studioalbum än Ingmar Bergman regisserade långfilmer?;First Aid Kits studioalbum;Ingmar Bergmans långfilmer;5;48;verk;Hur många verk skiljer det?
Vann Björn Borg fler eller färre Grand Slam-titlar i tennis än Ingemar Stenmark vann världscupsegrar i alpint?;Björn Borgs Grand Slam-titlar;Ingemar Stenmarks världscupsegrar;11;86;titlar;Hur många skiljer det?
Har Robyn gett ut fler eller färre studioalbum än Håkan Hellström?;Robyns studioalbum;Håkan Hellströms studioalbum;8;11;album;Hur många album skiljer det?
Har Veronica Maggio gett ut fler eller färre studioalbum än Håkan Hellström?;Veronica Maggios studioalbum;Håkan Hellströms studioalbum;7;11;album;Hur många album skiljer det?
