fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Daim fler eller färre kalorier än julmust per 100 gram?;Daim;Julmust;540;40;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har plättar fler eller färre kalorier än våfflor per 100 gram?;Plättar;Våffla;230;290;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har falukorv fler eller färre kalorier än isterband per 100 gram?;Falukorv;Isterband;240;320;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har Ahlgrens bilar fler eller färre kalorier än pepparkakor per 100 gram?;Ahlgrens bilar;Pepparkaka;350;430;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Ger en smörgåstårta fler eller färre portioner än en äggakaka?;Smörgåstårta;Äggakaka;12;3;portioner;Hur många portioner skiljer det?
Har messmör fler eller färre kalorier än filmjölk per 100 gram?;Messmör;Filmjölk;270;56;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Väger en våffla mer eller mindre än en plätt?;Våffla;Plätt;75;25;gram;Hur många gram skiljer det?
Väger en portion kroppkakor mer eller mindre än en hel limpa blodpudding?;Kroppkakor;Blodpudding;200;500;gram;Hur många gram skiljer det?
Väger en storpåse Ahlgrens bilar mer eller mindre än en kexchokladbit?;Ahlgrens bilar;Kexchoklad;1000;24;gram;Hur många gram skiljer det?
Har Daim fler eller färre kalorier än Dumle per 100 gram?;Daim;Dumlekola;540;474;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Väger en falukorv mer eller mindre än en burk blodpudding?;Falukorv;Blodpudding;800;500;gram;Hur många gram skiljer det?
Väger en kexchokladkaka mer eller mindre än en burk messmör?;Kexchoklad;Messmör;24;450;gram;Hur många gram skiljer det?
Väger en hel smörgåstårta mer eller mindre än en äggakaka?;Smörgåstårta;Äggakaka;1500;500;gram;Hur många gram skiljer det?
Har risgrynsgröt fler eller färre kalorier än pepparkakor per 100 gram?;Risgrynsgröt;Pepparkaka;90;430;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Väger en plätt mer eller mindre än en hel sats våffelsmet?;Plätt;Våffelsmet;25;600;gram;Hur många gram skiljer det?
