fråga;källa;år
Väger en brandbil mer eller mindre än en ambulans?;International Fire and Safety Journal / Fire Rescue Truck (typvärden tunga fordon);2025
Har en grävmaskin högre eller lägre tjänstevikt än en traktor?;Beardown Logistics excavator weight guide (20-25 tons-klass) / branschdata;2025
Har en snöskoter högre eller lägre toppfart än en vattenskoter?;Snowmobile.se / kunskapskassa.com (typvärden toppfart);2025
Har en gaffeltruck högre eller lägre toppfart än en snöskoter?;Conger Industries / CertifyMe forklift speed (13-29 km/h) + snowmobile.se;2025
Är ett luftskepp längre eller kortare än ett godståg?;Airships.net (Hindenburg 245 m) / UIRR godstågslängd EU;2025
Är en zeppelinare längre eller kortare än ett containerfartyg?;Airships.net (Hindenburg 245 m) / Wikipedia Ever Given (400 m);2025
Är en husbil längre eller kortare än en bilfärja?;ExtraSpace RV-dimensioner / Wikipedia bilfärjeklasser;2025
Väger en skördetröska mer eller mindre än en grävmaskin?;AllMachines combine specs / Beardown excavator weight guide;2025
Väger en monstertruck mer eller mindre än en grävmaskin?;Wikipedia Monster truck (min 4500 kg) / Beardown excavator guide;2025
Har en dragster högre eller lägre toppfart än en Formel 1-bil?;NHRA/Guinness Top Fuel (≈530-552 km/h) / RacingNews365 F1 topfart;2025
Har ett jaktplan högre eller lägre toppfart än en helikopter?;Aerospaceweb / SlashGear F-16 (Mach 2 ≈2400) / ExecutiveFlyers helikopter;2025
Väger ett segelflygplan mer eller mindre än en husbil?;StudentGlider segelplansvikt / ExtraSpace husbilsvikt;2025
Är ett kryssningsfartyg längre eller kortare än Titanic?;CruiseMummy / MarineInsight (Symphony 362 m, Titanic 269 m);2025
Är ett godståg längre eller kortare än en spårvagn?;UIRR godstågslängd EU (≈740 m) / Dimensions.com spårvagn;2025
Har en linbanegondol högre eller lägre toppfart än en spårvagn?;The Gondola Project (gondol ≈30-43 km/h) / Wikipedia spårvagn;2025
Har en cykelrickshaw högre eller lägre toppfart än en tuktuk?;Jeromwin Tours / Dragoneraev tuk-tuk topfart (45-55 km/h);2025
Väger en fyrhjuling mer eller mindre än en snöskoter?;ATVMan ATV-vikt / snowmobile.se skotervikt;2025
Är en ubåt längre eller kortare än en oljetanker?;Britannica/Quora ubåtsmått / VLCC supertankerlängd (≈380 m);2025
Har en racingbåt högre eller lägre toppfart än en motorbåt?;Motor Boat & Yachting / offshore racing (105-321 km/h);2025
Är en ambulans längre eller kortare än en brandbil?;TruckCamperFanatic brandbilslängd / typvärden ambulans (6-7,6 m);2025
Har en skördetröska starkare eller svagare motor än en traktor?;AllMachines combine HP (380-690 hk) / typvärden traktor;2025
Har en grävmaskin starkare eller svagare motor än en monstertruck?;Branschdata grävmaskin-hk / EngineBuilder Monster Jam (1500 hk);2025
Väger en husbil mer eller mindre än en ambulans?;ExtraSpace RV-vikt / typvärden ambulans (≈3500 kg);2025
Väger en tuktuk mer eller mindre än en fyrhjuling?;ResearchGate/Alibaba Bajaj RE (kerb 277-500 kg) / ATVMan ATV-vikt;2025
Har en dragster högre eller lägre toppfart än en racingbåt?;NHRA Top Fuel (≈530 km/h) / offshore racing (105-321 km/h);2025
Är ett segelflygplan längre eller kortare än ett jaktplan?;Wikipedia segelplanslängd (≈7 m) / Bundeswehr F-16 (15 m);2025
