fråga;källa;år
Regerade Oscar II fler eller färre år än Gustav III?;Kungliga slotten (kungligaslotten.se), svenska regenter;2024
Varade trettioåriga kriget fler eller färre år än stora nordiska kriget?;Wikipedia / SO-rummet (trettioåriga kriget 1618-1648, stora nordiska kriget 1700-1721);2024
Är Visby ringmur längre än den är hög?;Wikipedia: Visby ringmur (3,4 km lång, upp till 11 m hög);2024
Hade Sverige fler eller färre invånare år 1900 än år 1800?;SCB / Wikipedia: Sveriges historiska befolkning (1800 ca 2,3 milj, 1900 ca 5,1 milj);2024
Regerade Gustaf V fler eller färre år än Karl XV?;Kungliga slotten (Gustaf V 1907-1950, Karl XV 1859-1872);2024
Regerade Karl XIV Johan fler eller färre år än Oscar I?;Kungliga slotten (Karl XIV Johan 1818-1844, Oscar I 1844-1859);2024
Hade Göteborg fler eller färre invånare än Visby år 2020?;SCB tätorter/kommuner 2020 (Göteborg ca 580 000, Visby ca 24 000);2020
Hade regalskeppet Mars en större eller mindre besättning än Vasaskeppet?;Wikipedia: Mars (1563) ca 800 man; Vasamuseet: Vasa planerad besättning 437 man;2024
Är Vänern större eller mindre än Mälaren till ytan?;NE / SMHI Sveriges sjöar (Vänern ca 5 650 km², Mälaren ca 1 140 km²);2024
Är Lunds domkyrka högre eller lägre än borgen Glimmingehus?;Lunds domkyrka (55 m); Wikipedia: Glimmingehus (ca 26 m);2024
Var drottning Kristina äldre eller yngre när hon abdikerade än när hon blev drottning?;Wikipedia: Drottning Kristina (f. 1626, drottning 1632, abdikerade 1654);2024
Grundades Karlskrona före eller efter Karlstad?;Wikipedia: Karlskrona stad (1680); Karlstads historia (stadsprivilegier 1584);2024
Regerade Gustav III fler eller färre år än Gustaf V?;Kungliga slotten (Gustav III 1771-1792, Gustaf V 1907-1950);2024
Stod slaget vid Breitenfeld före eller efter slaget vid Poltava?;Wikipedia / SO-rummet (Breitenfeld 1631, Poltava 1709);2024
Är Linköpings domkyrka högre eller lägre än Uppsala domkyrka?;Svenska kyrkan Linköping (107 m); Wikipedia/SVT Uppsala domkyrka (118 m);2024
Regerade Oscar I fler eller färre år än Oscar II?;Kungliga slotten (Oscar I 1844-1859, Oscar II 1872-1907);2024
Regerade Karl XV fler eller färre år än Karl XIV Johan?;Kungliga slotten (Karl XV 1859-1872, Karl XIV Johan 1818-1844);2024
Regerade drottning Kristina fler eller färre år än Karl XI?;Wikipedia (Kristina 1632-1654 = 22 år, Karl XI 1660-1697 = 37 år);2024
Grundades Sigtuna före eller efter Karlskrona?;Destination Sigtuna / Storstad.se (Sigtuna ca 980); Wikipedia: Karlskrona (1680);2024
Var skeppet Kalmar Nyckel kortare eller längre än Vasaskeppet?;kalmarnyckel.org (originalskeppet ca 28 m); Vasamuseet (Vasa 69 m inkl. bogspröt);2024
Hade Sverige fler eller färre invånare år 1571 än år 1900?;Riksarkivet Älvsborgs lösen / SO-rummet (1571 ca 0,9 milj traditionell siffra, 1900 ca 5,1 milj);2024
Har Drottningholms slott fler eller färre rum än Stockholms slott?;Wikipedia: Drottningholms slott (ca 200 rum); Stockholms slott (1 430 rum);2024
Varade Kalmarkriget fler eller färre år än trettioåriga kriget?;Wikipedia / Historiska Media (Kalmarkriget 1611-1613, trettioåriga kriget 1618-1648);2024
Stod slaget vid Brunkeberg före eller efter slaget vid Lützen?;Wikipedia / SO-rummet (Brunkeberg 1471, Lützen 1632);2024
