fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är grottan Krubera djupare eller grundare än grottan Veryovkina?;Krubera;Veryovkina;2224;2209;meter;Hur många meter skiljer det?
Är Marianergraven djupare än Mount Everest är högt?;Marianergraven;Mount Everest;10994;8849;meter;Hur många meter skiljer det?
Var det varmaste som uppmätts i Death Valley varmare eller kallare än det svenska värmerekordet?;Death Valley;Svenska värmerekordet;56,7;38;°C;Hur många grader skiljer det?
Är kvarts hårdare eller mjukare än diamant på Mohs hårdhetsskala?;Kvarts;Diamant;7;10;på Mohs-skalan;Hur många steg skiljer det?
Är inlandsisen på Grönland tjockare eller tunnare än inlandsisen i Antarktis, mätt där de är som tjockast?;Grönlandsisen;Antarktisisen;3488;4897;meter;Hur många meter skiljer det?
Är en vanlig regndroppe större eller mindre i diameter än ett hagelkorn?;Regndroppe;Hagelkorn;2;6;millimeter;Hur många millimeter skiljer det?
Är fältspat hårdare eller mjukare än diamant på Mohs hårdhetsskala?;Fältspat;Diamant;6;10;på Mohs-skalan;Hur många steg skiljer det?
Sprutar gejsern Old Faithful i Yellowstone högre eller lägre än Strokkur på Island?;Old Faithful;Strokkur;44;18;meter;Hur många meter skiljer det?
Är blomman hos jätteväxten rafflesia större eller mindre i diameter än blomkorgen på en solros?;Rafflesia;Solros;100;30;centimeter;Hur många centimeter skiljer det?
Är ett rekordsnödjup i japanska Alperna större eller mindre än ett vanligt vintersnödjup i de svenska fjällen?;Rekordsnödjup Japan;Snödjup i fjällen;11;2;meter;Hur många meter skiljer det?
Är apatit hårdare eller mjukare än topas på Mohs hårdhetsskala?;Apatit;Topas;5;8;på Mohs-skalan;Hur många steg skiljer det?
Når toppen på ett typiskt åskmoln högre eller lägre än Mount Everest?;Åskmoln;Mount Everest;12;8,8;kilometer;Hur många kilometer skiljer det?
Faller det mer eller mindre regn på ett år i Stockholm än i Mawsynram, en av jordens blötaste platser?;Stockholm;Mawsynram;540;11871;millimeter;Hur många millimeter skiljer det?
Är Döda havet saltare eller mindre salt än Östersjön?;Döda havet;Östersjön;342;7;gram salt per liter;Hur många gram per liter skiljer det?
Är Östersjön saltare eller mindre salt än världshaven i genomsnitt?;Östersjön;Världshaven;7;35;gram salt per liter;Hur många gram per liter skiljer det?
Rör sig en alpglaciär mer eller mindre per dygn än en snabb glaciär som Jakobshavn på Grönland?;Alpglaciär;Jakobshavnsglaciären;0,5;40;meter per dygn;Hur många meter per dygn skiljer det?
Är tidvattenskillnaden i Fundybukten i Kanada större eller mindre än i Medelhavet?;Fundybukten;Medelhavet;16;0,4;meter;Hur många meter skiljer det?
Är ett rekordstort hagelkorn större eller mindre i diameter än en golfboll?;Rekordhagelkorn;Golfboll;20;4,3;centimeter;Hur många centimeter skiljer det?
Är Östersjöns genomsnittliga djup större eller mindre än Nordsjöns genomsnittliga djup?;Östersjön;Nordsjön;55;95;meter;Hur många meter skiljer det?
Är en gipskristall i Naica-grottan längre eller kortare än en vuxen människa är lång?;Naica-kristallen;Vuxen människa;12;1,8;meter;Hur många meter skiljer det?
Svävar ett cumulusmoln på högre eller lägre höjd än ett tunt cirrusmoln?;Cumulusmoln;Cirrusmoln;2;9;kilometer;Hur många kilometer skiljer det?
Väger ett orkidéfrö mer eller mindre än ett ärtfrö?;Orkidéfrö;Ärtfrö;0,000001;0,3;gram;Hur många gram skiljer det?
Är luftfuktigheten i en regnskog högre eller lägre än i Atacamaöknen?;Regnskog;Atacamaöknen;90;20;procent;Hur många procentenheter skiljer det?
Är ett sandkorn på en strand större eller mindre i diameter än ett saltkorn?;Sandkorn;Saltkorn;0,5;0,3;millimeter;Hur många millimeter skiljer det?
