fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är Fernsehturm i Berlin högre eller lägre än Sky Tower i Auckland?;Fernsehturm;Sky Tower;368;328;meter;Hur många meter skiljer det?
Är Karlsbron i Prag äldre eller yngre än Ponte Vecchio i Florens?;Karlsbron;Ponte Vecchio;670;680;år;Hur många år skiljer det?
Har Wembley Stadium fler eller färre sittplatser än Azteca-stadion i Mexico City?;Wembley Stadium;Azteca-stadion;90000;87523;platser;Hur många platser skiljer det?
Är The Shard i London högre eller lägre än One World Trade Center?;The Shard;One World Trade Center;310;541;meter;Hur många meter skiljer det?
Är The Shard i London högre eller lägre än Lakhta Center i S:t Petersburg?;The Shard;Lakhta Center;310;462;meter;Hur många meter skiljer det?
Är Burj Al Arab i Dubai högre eller lägre än One World Trade Center?;Burj Al Arab;One World Trade Center;321;541;meter;Hur många meter skiljer det?
Är Oriental Pearl Tower i Shanghai högre eller lägre än Macau Tower?;Oriental Pearl Tower;Macau Tower;468;338;meter;Hur många meter skiljer det?
Är Statue of Unity i Indien högre eller lägre än Vårens tempel-Buddha i Kina?;Statue of Unity;Vårens tempel-Buddha;182;128;meter;Hur många meter skiljer det?
Är Hagia Sofia i Istanbul högre eller lägre än Notre-Dame i Paris?;Hagia Sofia;Notre-Dame;55;96;meter;Hur många meter skiljer det?
Är Vasilijkatedralen i Moskva äldre eller yngre än Förbjudna staden i Peking?;Vasilijkatedralen;Förbjudna staden;465;605;år;Hur många år skiljer det?
Är Hagia Sofia i Istanbul äldre eller yngre än Notre-Dame i Paris?;Hagia Sofia;Notre-Dame;1489;860;år;Hur många år skiljer det?
Är Sfinxen i Giza äldre eller yngre än Petra i Jordanien?;Sfinxen;Petra;4500;2300;år;Hur många år skiljer det?
Är Marina Bay Sands i Singapore högre eller lägre än klocktornet i Mecka?;Marina Bay Sands;Abraj Al Bait;207;601;meter;Hur många meter skiljer det?
Är Lakhta Center i S:t Petersburg högre eller lägre än Notre-Dame i Paris?;Lakhta Center;Notre-Dame;462;96;meter;Hur många meter skiljer det?
Är Markusplatsens klocktorn i Venedig högre eller lägre än One World Trade Center?;Markusplatsens klocktorn;One World Trade Center;98,6;541;meter;Hur många meter skiljer det?
Är Oriental Pearl Tower i Shanghai högre eller lägre än Vårens tempel-Buddha i Kina?;Oriental Pearl Tower;Vårens tempel-Buddha;468;128;meter;Hur många meter skiljer det?
Är Vasco da Gama-brons huvudspann längre eller kortare än Storebæltsbrons huvudspann?;Vasco da Gama-bron;Storebæltsbron;420;1624;meter;Hur många meter skiljer det?
Är Westminster Abbey äldre eller yngre än Sfinxen i Giza?;Westminster Abbey;Sfinxen;760;4500;år;Hur många år skiljer det?
Är Sfinxen i Giza äldre eller yngre än Borobudur i Indonesien?;Sfinxen;Borobudur;4500;1200;år;Hur många år skiljer det?
Är Förbjudna staden i Peking äldre eller yngre än Petra i Jordanien?;Förbjudna staden;Petra;605;2300;år;Hur många år skiljer det?
Är Vasco da Gama-brons huvudspann längre eller kortare än Tower Bridges huvudspann?;Vasco da Gama-bron;Tower Bridge;420;61;meter;Hur många meter skiljer det?
Är Lilla sjöjungfrun i Köpenhamn högre eller lägre än statyn Moderlandet kallar i Volgograd?;Lilla sjöjungfrun;Moderlandet kallar;1,25;85;meter;Hur många meter skiljer det?
Är Washington Monument högre eller lägre än Lilla sjöjungfrun i Köpenhamn?;Washington Monument;Lilla sjöjungfrun;169;1,25;meter;Hur många meter skiljer det?
Är Lilla sjöjungfrun i Köpenhamn högre eller lägre än Gateway Arch i St Louis?;Lilla sjöjungfrun;Gateway Arch;1,25;192;meter;Hur många meter skiljer det?
Är Sfinxen i Giza äldre eller yngre än Markusplatsens klocktorn i Venedig?;Sfinxen;Markusplatsens klocktorn;4500;510;år;Hur många år skiljer det?
Är Hangzhou Bay-brons huvudspann längre eller kortare än Tower Bridges huvudspann?;Hangzhou Bay-bron;Tower Bridge;448;61;meter;Hur många meter skiljer det?
Är Tower Bridges huvudspann längre eller kortare än Bosporenbrons huvudspann?;Tower Bridge;Bosporenbron;61;1074;meter;Hur många meter skiljer det?
Är Storebæltsbrons huvudspann längre eller kortare än Ponte Vecchios största valvspann?;Storebæltsbron;Ponte Vecchio;1624;30;meter;Hur många meter skiljer det?
