fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en anakonda mer eller mindre än en boaorm?;Anakonda;Boaorm;250;27;kilo;Hur många kilo skiljer det?
Väger en hammarhaj mer eller mindre än en mantarocka?;Hammarhaj;Mantarocka;230;1500;kilo;Hur många kilo skiljer det?
Simmar en svärdfisk fortare eller långsammare än en tonfisk?;Svärdfisk;Tonfisk;100;75;km/h;Hur många km/h skiljer det?
Är benspannet på en japansk spindelkrabba större eller mindre än längden på en hummer?;Japansk spindelkrabba;Hummer;3,7;0,6;meter;Hur många meter skiljer det?
Är benspannet på en kejsarskorpion större eller mindre än på en fågelspindel?;Kejsarskorpion;Fågelspindel;20;28;centimeter;Hur många centimeter skiljer det?
Är en anakonda längre eller kortare än en jättebläckfisk?;Anakonda;Jättebläckfisk;4;13;meter;Hur många meter skiljer det?
Är vingbredden på en pelikan större eller mindre än på en andeskondor?;Pelikan;Andeskondor;3;3,2;meter;Hur många meter skiljer det?
Väger en kungsörn mer eller mindre än en andeskondor?;Kungsörn;Andeskondor;5;12;kilo;Hur många kilo skiljer det?
Lever en ara längre eller kortare än en berguv?;Ara;Berguv;70;20;år;Hur många år skiljer det?
Är en flamingo högre eller lägre än en trana?;Flamingo;Trana;1,4;1,2;meter;Hur många meter skiljer det?
Är vingbredden på en vit stork större eller mindre än på en pelikan?;Vit stork;Pelikan;2,2;3;meter;Hur många meter skiljer det?
Väger en kasuar mer eller mindre än en emu?;Kasuar;Emu;60;40;kilo;Hur många kilo skiljer det?
Springer en leopard fortare eller långsammare än ett lejon?;Leopard;Lejon;58;80;km/h;Hur många km/h skiljer det?
Väger en puma mer eller mindre än ett lodjur?;Puma;Lodjur;100;25;kilo;Hur många kilo skiljer det?
Väger en jaguar mer eller mindre än en leopard?;Jaguar;Leopard;96;60;kilo;Hur många kilo skiljer det?
Är ett jättebältdjur kortare eller längre än en jättemyrslok?;Jättebältdjur;Jättemyrslok;0,9;2;meter;Hur många meter skiljer det?
Väger ett piggsvin mer eller mindre än en igelkott?;Piggsvin;Igelkott;15;1,2;kilo;Hur många kilo skiljer det?
Väger en vombat mer eller mindre än en röd känguru?;Vombat;Röd känguru;26;85;kilo;Hur många kilo skiljer det?
Lever ett näbbdjur längre eller kortare än en kattlemur?;Näbbdjur;Kattlemur;17;27;år;Hur många år skiljer det?
Är en amerikansk alligator längre eller kortare än en anakonda?;Amerikansk alligator;Anakonda;4;6;meter;Hur många meter skiljer det?
Är en kinesisk jättesalamander längre eller kortare än en eldsalamander?;Kinesisk jättesalamander;Eldsalamander;1,8;0,2;meter;Hur många meter skiljer det?
Väger en oxgroda mer eller mindre än en agapadda?;Oxgroda;Agapadda;0,5;1,3;kilo;Hur många kilo skiljer det?
Är en tokaygecko längre eller kortare än en jacksonkameleont?;Tokaygecko;Jacksonkameleont;35;30;centimeter;Hur många centimeter skiljer det?
Simmar en marlin fortare eller långsammare än en svärdfisk?;Marlin;Svärdfisk;110;100;km/h;Hur många km/h skiljer det?
Är vingspannet på en mantarocka större eller mindre än längden på en hammarhaj?;Mantarocka;Hammarhaj;7;4,6;meter;Hur många meter skiljer det?
Väger en valhaj mer eller mindre än en piraja?;Valhaj;Piraja;19000;1,5;kilo;Hur många kilo skiljer det?
Flyger en gräshoppa fortare eller långsammare än en trollslända?;Gräshoppa;Trollslända;13;50;km/h;Hur många km/h skiljer det?
Är en herkulesbagge kortare eller längre än en jättevandrande pinne?;Herkulesbagge;Jättevandrande pinne;17;33;centimeter;Hur många centimeter skiljer det?
