fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Registrerades det fler eller färre labrador retriever än golden retriever hos SKK 2023?;Labrador retriever;Golden retriever;2939;1682;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre shetland sheepdog än jämthund hos SKK 2023?;Shetland sheepdog;Jämthund;860;1243;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre fransk bulldogg än australian shepherd hos SKK 2023?;Fransk bulldogg;Australian shepherd;667;602;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre rhodesian ridgeback än tysk schäferhund hos SKK 2023?;Rhodesian ridgeback;Tysk schäferhund;350;1543;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre nova scotia duck tolling retriever än jämthund hos SKK 2023?;Nova scotia duck tolling retriever;Jämthund;260;1243;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre drever än labrador retriever hos SKK 2023?;Drever;Labrador retriever;594;2939;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre finsk spets än golden retriever hos SKK 2023?;Finsk spets;Golden retriever;120;1682;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre barbet än papillon hos SKK 2023?;Barbet;Papillon;40;350;registreringar/år;Hur många registreringar skiljer det?
Registrerades det fler eller färre affenpinscher än dalmatiner hos SKK 2023?;Affenpinscher;Dalmatiner;15;200;registreringar/år;Hur många registreringar skiljer det?
Har en chinese crested högre eller lägre mankhöjd än en deerhound?;Chinese crested;Deerhound;30;76;cm;Hur många cm skiljer det i mankhöjd?
Har en boston terrier högre eller lägre mankhöjd än en wachtelhund?;Boston terrier;Wachtelhund;40;48;cm;Hur många cm skiljer det i mankhöjd?
Har en saluki högre eller lägre mankhöjd än en silky terrier?;Saluki;Silky terrier;70;23;cm;Hur många cm skiljer det i mankhöjd?
Väger en chihuahua mer eller mindre än en grosser schweizer sennenhund?;Chihuahua;Grosser schweizer sennenhund;2;55;kg;Hur många kg skiljer det i vikt?
Har en deerhound högre eller lägre mankhöjd än en boston terrier?;Deerhound;Boston terrier;76;40;cm;Hur många cm skiljer det i mankhöjd?
Har en hovawart högre eller lägre mankhöjd än en kooikerhondje?;Hovawart;Kooikerhondje;65;38;cm;Hur många cm skiljer det i mankhöjd?
Väger en keeshond mer eller mindre än en landseer?;Keeshond;Landseer;18;65;kg;Hur många kg skiljer det i vikt?
Väger en gammel dansk hönsehund mer eller mindre än en norsk lundehund?;Gammel dansk hönsehund;Norsk lundehund;30;6;kg;Hur många kg skiljer det i vikt?
Väger en welsh terrier mer eller mindre än en cane corso?;Welsh terrier;Cane corso;9;45;kg;Hur många kg skiljer det i vikt?
Väger en grosser schweizer sennenhund mer eller mindre än en jämthund?;Grosser schweizer sennenhund;Jämthund;55;30;kg;Hur många kg skiljer det i vikt?
Väger en dansk-svensk gårdshund mer eller mindre än en bullmastiff?;Dansk-svensk gårdshund;Bullmastiff;12;55;kg;Hur många kg skiljer det i vikt?
Väger en bullmastiff mer eller mindre än en wheaten terrier?;Bullmastiff;Wheaten terrier;55;18;kg;Hur många kg skiljer det i vikt?
Väger en kerry blue terrier mer eller mindre än en clumber spaniel?;Kerry blue terrier;Clumber spaniel;15;32;kg;Hur många kg skiljer det i vikt?
Har en cairnterrier längre eller kortare livslängd än en dogue de bordeaux?;Cairnterrier;Dogue de bordeaux;14;8;år;Hur många år skiljer det i livslängd?
Har en wachtelhund längre eller kortare livslängd än en irländsk varghund?;Wachtelhund;Irländsk varghund;13;7;år;Hur många år skiljer det i livslängd?
Har en chihuahua längre eller kortare livslängd än en dvärgpudel?;Chihuahua;Dvärgpudel;16;15;år;Hur många år skiljer det i livslängd?
Har en norsk lundehund längre eller kortare livslängd än en bullmastiff?;Norsk lundehund;Bullmastiff;12;9;år;Hur många år skiljer det i livslängd?
