fråga;källa;år
Vilket av märkena är äldst? (Sweco/Rejlers);Sweco bildat 1997 (en.wikipedia.org/wiki/Sweco); Rejlers grundat 1942 (rejlers.com/this-is-rejlers/history);2026
Vilket av märkena är äldst? (Tobii/Fingerprint Cards);Tobii grundat 2001 (corporate.tobii.com); Fingerprint Cards grundat 1997 (en.wikipedia.org/wiki/Fingerprint_Cards);2026
Vilket av märkena är äldst? (Vitrolife/Biotage);Vitrolife grundat 1994 (vitrolife.com); Biotage/Pyrosequencing AB grundat 1997 (life-sciences-scandinavia.com);2026
Vilket av märkena är äldst? (HiQ/Knowit);HiQ grundat 1995 (hiq.se); Knowit grundat 1990 (sv.wikipedia.org/wiki/Knowit);2026
Vilket av märkena är äldst? (Trustly/SEB);Trustly grundat 2008 (en.wikipedia.org/wiki/Trustly); SEB (Stockholms Enskilda Bank) grundat 1856 (sebgroup.com/about-us/our-history);2026
Vilket av märkena är äldst? (Marabou/Cloetta);Marabou grundat 1916 (en.wikipedia.org/wiki/Marabou_(chocolate)); Cloetta grundat 1862 (cloetta.com/en/about-cloetta/history);2026
Vilket av märkena är äldst? (Creades/Bure Equity);Creades grundat 2011 (stockanalysis.com); Bure Equity grundat 1992 (en.wikipedia.org/wiki/Bure_Equity);2026
Vilket av märkena är äldst? (Storskogen/Volati);Storskogen grundat 2012 (storskogen.com); Volati grundat 2003 (volati.se/en/about/our-history);2026
Vilket av märkena är äldst? (Addtech/Beijer Alma);Addtech avknoppat 2001 (en.wikipedia.org/wiki/Addtech); Beijer Alma grundat 1983 (beijeralma.se/en/about-beijer-alma/history);2026
Vilket av märkena är äldst? (Essity/Vimian);Essity avknoppat 2017 (en.wikipedia.org/wiki/Essity); Vimian (varumärket) grundat 2021 (fideliocapital.com/news/fidelio-forms-vimian);2026
Vilket av märkena är äldst? (Yubico/Axis Communications);Yubico grundat 2007 (yubico.com/why-yubico/about-us); Axis Communications grundat 1984 (en.wikipedia.org/wiki/Axis_Communications);2026
Vilket av märkena är äldst? (Mentimeter/Sinch);Mentimeter grundat 2014 (en.wikipedia.org/wiki/Mentimeter); Sinch (CLX Communications) grundat 2008 (en.wikipedia.org/wiki/Sinch_AB);2026
Vilket av märkena är äldst? (IFS/Fortnox);IFS grundat 1983 (en.wikipedia.org/wiki/IFS_AB); Fortnox grundat 2001 (matrixbcg.com/blogs/brief-history/fortnox);2026
Vilket av märkena är äldst? (Tink/Lendo);Tink grundat 2012 (tink.com/about-us); Lendo grundat 2007 (lendo.group/about-lendo);2026
Vilket av märkena är äldst? (Readly/Storytel);Readly grundat 2012 (en.wikipedia.org/wiki/Readly); Storytel (Bokilur) grundat 2005 (en.wikipedia.org/wiki/Storytel);2026
Vilket av märkena är äldst? (Dustin/Inet);Dustin grundat 1984 (en.wikipedia.org/wiki/Dustin_AB); Inet grundat 2000 (sv.wikipedia.org/wiki/Inet);2026
Vilket av märkena är äldst? (Oatly/Pågen);Oatly grundat 1994 (en.wikipedia.org/wiki/Oatly); Pågen grundat 1878 (pagen.com/about-pagen/our-history);2026
Vilket av märkena är äldst? (SCA/Setra Group);SCA grundat 1929 (en.wikipedia.org/wiki/SCA_(company)); Setra Group grundat 2003 (setragroup.com/en/about-setra);2026
Vilket av märkena är äldst? (Electrolux/Mips);Electrolux grundat 1919 (en.wikipedia.org/wiki/Electrolux); Mips grundat 1996 (mipsprotection.com/mips-the-company);2026
Vilket av märkena är äldst? (Swedish Match/Kindred Group);Swedish Match (Svenska Tobaksmonopolet) grundat 1915 (swedishmatch.com/Our-company/Company-history); Kindred Group (Unibet) grundat 1997 (en.wikipedia.org/wiki/Kindred_Group);2026
Vilket av märkena är äldst? (Handelsbanken/Avanza);Handelsbanken grundat 1871 (en.wikipedia.org/wiki/Handelsbanken); Avanza grundat 1999 (en.wikipedia.org/wiki/Avanza);2026
Vilket av märkena är äldst? (Nordea/Nordnet);Nordea (äldsta föregångare Sparekassen 1820) (nordea.com/en/about-us/who-are-we/our-history); Nordnet grundat 1996 (en.wikipedia.org/wiki/Nordnet);2026
Vilket av märkena är äldst? (Skanska/Serneke);Skanska (Skånska Cementgjuteriet) grundat 1887 (en.wikipedia.org/wiki/Skanska); Serneke grundat 2002 (en.wikipedia.org/wiki/Serneke);2026
Vilket av märkena är äldst? (Intrum/Resurs Bank);Intrum (Justitias Upplysningsbyrå) grundat 1923 (intrum.com/about-us/who-we-are/one-hundred-years); Resurs Bank grundat 2001 (en.wikipedia.org/wiki/Resurs_Holding);2026
Vilket av märkena är äldst? (Uddeholm/Northvolt);Uddeholm grundat 1668 (en.wikipedia.org/wiki/Uddeholms_AB; voestalpine 350 år 2018); Northvolt grundat 2016 (en.wikipedia.org/wiki/Northvolt);2026
Vilket av märkena är äldst? (Gränsfors Bruk/Einride);Gränsfors Bruk grundat 1902 (gransforsbruk.com/en/about-us/our-history); Einride grundat 2016 (en.wikipedia.org/wiki/Einride);2026
Vilket av märkena är äldst? (Polestar/Spendrups);Polestar (fristående EV-varumärke) 2017 (en.wikipedia.org/wiki/Polestar); Spendrups (Grängesbergs bryggeri) grundat 1897 (en.wikipedia.org/wiki/Spendrups);2026
