fråga;källa;år
ABB vs Broadcom;ABB bildat 1988 (driftstart 5 jan 1988, fusion ASEA+BBC) → 38 år; Broadcom grundat 1991 → 35 år. Wikipedia/abb.com.;2026
UniCredit vs Fortinet;UniCredit bildat 1998 (fusion Credito Italiano+Unicredito) → 28 år; Fortinet grundat okt 2000 → 26 år. Wikipedia.;2026
Komatsu vs Nomura;Komatsu grundat maj 1921 → 105 år; Nomura Securities grundat 25 dec 1925 → 101 år. Wikipedia.;2026
Zurich vs Emerson;Zurich Insurance grundat 22 okt 1872 → 154 år; Emerson Electric grundat 1890 → 136 år. Wikipedia.;2026
Pfizer vs Allianz;Pfizer grundat 1849 → 177 år; Allianz grundat 1890 (driftstart Berlin 5 feb 1890) → 136 år. Wikipedia.;2026
Schindler vs Eaton;Schindler grundat 1874 (Luzern) → 152 år; Eaton grundat 1911 (Torbensen Gear and Axle) → 115 år. Wikipedia.;2026
Caterpillar vs Equinor;Caterpillar grundat 1925 (fusion Holt+Best) → 101 år; Equinor (Statoil) grundat 14 juli 1972 → 54 år. Wikipedia.;2026
KONE vs Equinor;KONE grundat 27 okt 1910 → 116 år; Equinor (Statoil) grundat 1972 → 54 år. Wikipedia.;2026
John Deere vs Linde;John Deere (Deere & Company) grundat 1837 → 189 år; Linde grundat 21 juni 1879 → 147 år. Wikipedia.;2026
Otis vs Allianz;Otis Elevator grundat 1853 (Yonkers, NY) → 173 år; Allianz grundat 1890 → 136 år. Wikipedia.;2026
Texas Instruments vs ASML;Texas Instruments grundat 1930 (genom Geophysical Service) → 96 år; ASML grundat 1984 → 42 år. Wikipedia.;2026
Qualcomm vs Fortinet;Qualcomm grundat 1 juli 1985 → 41 år; Fortinet grundat okt 2000 → 26 år. Wikipedia.;2026
Höganäs vs Santander;Höganäs AB grundat 1797 → 229 år; Banco Santander grundat 15 maj 1857 → 169 år. Wikipedia/hoganas.com.;2026
Trelleborg vs Munters;Trelleborg AB grundat 27 okt 1905 → 121 år; Munters grundat 1955 → 71 år. Wikipedia.;2026
Bayer vs Honeywell;Bayer grundat 1 aug 1863 → 163 år; Honeywell grundat 1906 (Honeywell Heating Specialty Co.) → 120 år. Wikipedia.;2026
TSMC vs CrowdStrike;TSMC grundat 1987 → 39 år; CrowdStrike grundat 2011 → 15 år. Wikipedia.;2026
Qualcomm vs Moderna;Qualcomm grundat 1985 → 41 år; Moderna grundat sept 2010 (ModeRNA Therapeutics) → 16 år. Wikipedia.;2026
ASML vs AbbVie;ASML grundat 1984 → 42 år; AbbVie grundat 1 jan 2013 (avknoppning Abbott) → 13 år. Wikipedia.;2026
Schlumberger vs VMware;Schlumberger (SLB) grundat 1926 (Paris) → 100 år; VMware grundat 1998 → 28 år. Wikipedia.;2026
Otis vs Equinor;Otis Elevator grundat 1853 → 173 år; Equinor (Statoil) grundat 1972 → 54 år. Wikipedia.;2026
Honeywell vs Palo Alto Networks;Honeywell grundat 1906 → 120 år; Palo Alto Networks grundat 2005 → 21 år. Wikipedia.;2026
DuPont vs Munters;DuPont grundat 1802 → 224 år; Munters grundat 1955 → 71 år. Wikipedia.;2026
Schneider Electric vs Equinor;Schneider Electric grundat 1836 (Le Creusot) → 190 år; Equinor (Statoil) grundat 1972 → 54 år. Wikipedia.;2026
Holmen vs CrowdStrike;Holmen grundat 1609 (Holmens Bruk, Norrköping) → 417 år; CrowdStrike grundat 2011 → 15 år. Wikipedia/holmen.com.;2026
Höganäs vs SentinelOne;Höganäs AB grundat 1797 → 229 år; SentinelOne grundat 2013 → 13 år. Wikipedia/hoganas.com.;2026
State Street vs AbbVie;State Street grundat 1792 (Union Bank, Boston) → 234 år; AbbVie grundat 2013 → 13 år. Wikipedia.;2026
DuPont vs Moderna;DuPont grundat 1802 → 224 år; Moderna grundat 2010 → 16 år. Wikipedia.;2026
