fråga;källa;år
Vilket av märkena är äldst? (Société Générale/BNP Paribas);Société Générale grundat 1864 (en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_G%C3%A9n%C3%A9rale); BNP Paribas-rötter (CNEP) 1848 (en.wikipedia.org/wiki/BNP_Paribas);2026
Vilket av märkena är äldst? (American Express/Citi);American Express grundat 1850 (en.wikipedia.org/wiki/American_Express); Citi/City Bank of New York 1812 (en.wikipedia.org/wiki/Citibank);2026
Vilket av märkena är äldst? (Sherwin-Williams/Linde);Sherwin-Williams grundat 1866 (en.wikipedia.org/wiki/Sherwin-Williams); Linde grundat 1879 (en.wikipedia.org/wiki/Linde_plc);2026
Vilket av märkena är äldst? (Seagate/PTC);Seagate grundat 1978 (en.wikipedia.org/wiki/Seagate_Technology); PTC grundat 1985 (en.wikipedia.org/wiki/PTC_(software_company));2026
Vilket av märkena är äldst? (Standard Chartered/Automattic);Standard Chartered (nuvarande bolag) 1969 (en.wikipedia.org/wiki/Standard_Chartered); Automattic grundat 2005 (en.wikipedia.org/wiki/Automattic);2026
Vilket av märkena är äldst? (Ansys/Marvell);Ansys grundat 1970 (en.wikipedia.org/wiki/Ansys); Marvell grundat 1995 (en.wikipedia.org/wiki/Marvell_Technology);2026
Vilket av märkena är äldst? (SUSE/National Instruments);SUSE grundat 1992 (en.wikipedia.org/wiki/SUSE); National Instruments grundat 1976 (en.wikipedia.org/wiki/National_Instruments);2026
Vilket av märkena är äldst? (Interactive Brokers/GSK);Interactive Brokers/T.P. & Co 1978 (en.wikipedia.org/wiki/Interactive_Brokers); GSK (sammanslagning) 2000 (en.wikipedia.org/wiki/GSK_plc);2026
Vilket av märkena är äldst? (SanDisk/Citi);SanDisk grundat 1988 (en.wikipedia.org/wiki/SanDisk); Citi/City Bank of New York 1812 (en.wikipedia.org/wiki/Citibank);2026
Vilket av märkena är äldst? (Scotiabank/BP);Scotiabank grundat 1832 (en.wikipedia.org/wiki/Scotiabank); BP/Anglo-Persian Oil 1909 (en.wikipedia.org/wiki/BP);2026
Vilket av märkena är äldst? (TotalEnergies/HSBC);TotalEnergies grundat 1924 (en.wikipedia.org/wiki/TotalEnergies); HSBC grundat 1865 (en.wikipedia.org/wiki/HSBC);2026
