fråga;källa;år
Otis vs Schindler;Otis Elevator grundat 1853 → 173 år; Schindler grundat 1874 → 152 år. Wikipedia.;2026
Caterpillar vs Komatsu;Caterpillar bildat 1925 (fusion Holt+Best) → 101 år; Komatsu grundat 1921 → 105 år. Wikipedia.;2026
Eaton vs Parker Hannifin;Eaton grundat 1911 → 115 år; Parker Hannifin grundat 1917 (Parker Appliance Co.) → 109 år. Wikipedia.;2026
Linde vs BASF;Linde grundat 1879 → 147 år; BASF grundat 1865 → 161 år. Wikipedia.;2026
Hitachi vs Siemens;Hitachi grundat 1910 → 116 år; Siemens grundat 1847 (Siemens & Halske) → 179 år. Wikipedia.;2026
KONE vs Liebherr;KONE grundat 1910 → 116 år; Liebherr grundat 1949 → 77 år. Wikipedia.;2026
Micron vs Texas Instruments;Micron grundat 1978 → 48 år; Texas Instruments grundat 1930 (Geophysical Service Inc.) → 96 år. Wikipedia.;2026
Halliburton vs Chevron;Halliburton grundat 1919 → 107 år; Chevron grundat 1879 (Pacific Coast Oil) → 147 år. Wikipedia.;2026
Maersk vs DHL;Maersk grundat 1904 → 122 år; DHL grundat 1969 → 57 år. Wikipedia.;2026
Schneider Electric vs Ecolab;Schneider Electric grundat 1836 (Schneider & Cie) → 190 år; Ecolab grundat 1923 → 103 år. Wikipedia.;2026
Cisco vs SAP;Cisco grundat 1984 → 42 år; SAP grundat 1972 → 54 år. Wikipedia.;2026
Goodyear vs Bridgestone;Goodyear grundat 1898 → 128 år; Bridgestone grundat 1931 → 95 år. Wikipedia.;2026
Goldman Sachs vs Morgan Stanley;Goldman Sachs grundat 1869 → 157 år; Morgan Stanley grundat 1935 → 91 år. Wikipedia.;2026
Autodesk vs Salesforce;Autodesk grundat 1982 → 44 år; Salesforce grundat 1999 → 27 år. Wikipedia.;2026
Sanofi vs Pfizer;Sanofi grundat 1973 → 53 år; Pfizer grundat 1849 → 177 år. Wikipedia.;2026
Telefónica vs Deutsche Telekom;Telefónica grundat 1924 → 102 år; Deutsche Telekom bildat 1995 → 31 år. Wikipedia.;2026
ABB vs Honeywell;ABB bildat 1988 → 38 år; Honeywell grundat 1906 (Honeywell Heating Specialty Co.) → 120 år. Wikipedia.;2026
Bayer vs Novartis;Bayer grundat 1863 → 163 år; Novartis bildat 1996 (fusion Ciba-Geigy+Sandoz) → 30 år. Wikipedia.;2026
AkzoNobel vs Roche;AkzoNobel bildat 1994 (fusion Akzo+Nobel Industries) → 32 år; Roche grundat 1896 → 130 år. Wikipedia.;2026
Continental vs Qualcomm;Continental grundat 1871 → 155 år; Qualcomm grundat 1985 → 41 år. Wikipedia.;2026
Broadcom vs Emerson;Broadcom grundat 1991 → 35 år; Emerson Electric grundat 1890 → 136 år. Wikipedia.;2026
Boeing vs Tencent;Boeing grundat 1916 → 110 år; Tencent grundat 1998 → 28 år. Wikipedia.;2026
Nvidia vs IBM;Nvidia grundat 1993 → 33 år; IBM grundat 1911 (Computing-Tabulating-Recording Co.) → 115 år. Wikipedia.;2026
Stripe vs Bosch;Stripe grundat 2010 → 16 år; Bosch grundat 1886 → 140 år. Wikipedia.;2026
Databricks vs John Deere;Databricks grundat 2013 → 13 år; John Deere (Deere & Company) grundat 1837 → 189 år. Wikipedia.;2026
Allianz vs Datadog;Allianz grundat 1890 → 136 år; Datadog grundat 2010 → 16 år. Wikipedia.;2026
