fråga;källa;år
Acer vs Logitech;Acer grundat 1976 (Taiwan, ursprungligen Multitech) → 50 år; Logitech grundat 1981 (Schweiz) → 45 år;2026
Synopsys vs Garmin;Synopsys grundat 1986 (EDA) → 40 år; Garmin grundat 1989 → 37 år;2026
Four Seasons vs Hyatt;Four Seasons grundat 1960 (Toronto) → 66 år; Hyatt grundat 1957 → 69 år;2026
Nokia vs Corning;Nokia grundat 1865 (Finland) → 161 år; Corning grundat 1851 (Corning Glass Works) → 175 år;2026
Hyatt vs Marriott;Hyatt grundat 1957 → 69 år; Marriott grundat 1927 (J. Willard Marriott) → 99 år;2026
Infineon vs Synopsys;Infineon avknoppat från Siemens 1999 → 27 år; Synopsys grundat 1986 → 40 år;2026
Adobe vs ServiceNow;Adobe grundat 1982 → 44 år; ServiceNow grundat 2004 → 22 år;2026
Accor vs Hilton;Accor grundat 1967 (Frankrike) → 59 år; Hilton grundat 1919 (Conrad Hilton) → 107 år;2026
Xerox vs Ricoh;Xerox grundat 1906 (Haloid) → 120 år; Ricoh grundat 1936 (Japan) → 90 år;2026
Visa vs Oracle;Visa grundat 1958 (BankAmericard) → 68 år; Oracle grundat 1977 → 49 år;2026
SAP vs Dell;SAP grundat 1972 (Tyskland) → 54 år; Dell grundat 1984 → 42 år;2026
Canon vs Philips;Canon grundat 1937 (Japan) → 89 år; Philips grundat 1891 (Nederländerna) → 135 år;2026
Makita vs Liebherr;Makita grundat 1915 (Japan) → 111 år; Liebherr grundat 1949 (Tyskland) → 77 år;2026
Santander vs Citi;Banco Santander grundat 1857 → 169 år; Citi grundat 1812 (City Bank of New York) → 214 år;2026
Salesforce vs Goodyear;Salesforce grundat 1999 → 27 år; Goodyear grundat 1898 → 128 år;2026
Atlassian vs Michelin;Atlassian grundat 2002 (Australien) → 24 år; Michelin grundat 1889 (Frankrike) → 137 år;2026
Cisco vs Pirelli;Cisco grundat 1984 → 42 år; Pirelli grundat 1872 (Italien) → 154 år;2026
Garmin vs Siemens;Garmin grundat 1989 → 37 år; Siemens grundat 1847 (Tyskland) → 179 år;2026
Zurich vs Mastercard;Zurich Insurance grundat 1872 → 154 år; Mastercard grundat 1966 (Interbank) → 60 år;2026
Barclays vs HP;Barclays grundat 1690 (London) → 336 år; HP grundat 1939 (Hewlett-Packard) → 87 år;2026
Brother vs Workday;Brother grundat 1908 (Japan) → 118 år; Workday grundat 2005 → 21 år;2026
Philips vs ServiceNow;Philips grundat 1891 → 135 år; ServiceNow grundat 2004 → 22 år;2026
Wells Fargo vs Workday;Wells Fargo grundat 1852 → 174 år; Workday grundat 2005 → 21 år;2026
