fråga;källa;år
MG vs Chrysler;https://en.wikipedia.org/wiki/MG_(car_brand) (1924); https://en.wikipedia.org/wiki/Chrysler (1925);2026
Lotus vs Ferrari;https://en.wikipedia.org/wiki/Lotus_Cars (1952); https://en.wikipedia.org/wiki/Ferrari (1947);2026
Cadillac vs Lancia;https://en.wikipedia.org/wiki/Cadillac (1902); https://en.wikipedia.org/wiki/Lancia (1906);2026
Mitsubishi Motors vs Dacia;https://en.wikipedia.org/wiki/Mitsubishi_Motors (1970); https://en.wikipedia.org/wiki/Automobile_Dacia (1966);2026
Rolls-Royce vs Lamborghini;https://en.wikipedia.org/wiki/Rolls-Royce_Motor_Cars (1906); https://en.wikipedia.org/wiki/Lamborghini (1963);2026
Subaru vs Alfa Romeo;https://en.wikipedia.org/wiki/Subaru (1953); https://en.wikipedia.org/wiki/Alfa_Romeo (1910);2026
Aston Martin vs Porsche;https://en.wikipedia.org/wiki/Aston_Martin (1913); https://en.wikipedia.org/wiki/Porsche (1948);2026
Land Rover vs Maserati;https://en.wikipedia.org/wiki/Land_Rover (1948); https://en.wikipedia.org/wiki/Maserati (1914);2026
Citroën vs Abarth;https://en.wikipedia.org/wiki/Citro%C3%ABn (1919); https://en.wikipedia.org/wiki/Abarth (1949);2026
SEAT vs Bentley;https://en.wikipedia.org/wiki/SEAT (1950); https://en.wikipedia.org/wiki/Bentley (1919);2026
Mazda vs Mini;https://en.wikipedia.org/wiki/Mazda (1920); https://en.wikipedia.org/wiki/Mini (1959);2026
Lucid Motors vs Peugeot;https://en.wikipedia.org/wiki/Lucid_Motors (2007); https://en.wikipedia.org/wiki/Peugeot (1896);2026
Buick vs Smart;https://en.wikipedia.org/wiki/Buick (1899); https://en.wikipedia.org/wiki/Smart_(marque) (1994);2026
Pagani vs Renault;https://en.wikipedia.org/wiki/Pagani_(car_manufacturer) (1992); https://en.wikipedia.org/wiki/Renault (1899);2026
Fiat vs Lexus;https://en.wikipedia.org/wiki/Fiat (1899); https://en.wikipedia.org/wiki/Lexus (1989);2026
GMC vs Maruti Suzuki;https://en.wikipedia.org/wiki/GMC_(automobile) (1911); https://en.wikipedia.org/wiki/Maruti_Suzuki (1981);2026
Dodge vs Infiniti;https://en.wikipedia.org/wiki/Dodge (1900); https://en.wikipedia.org/wiki/Infiniti (1989);2026
Opel vs Cupra;https://en.wikipedia.org/wiki/Opel (1862); https://en.wikipedia.org/wiki/Cupra_(marque) (2018);2026
Genesis vs Piaggio;https://en.wikipedia.org/wiki/Genesis_Motor (2015); https://en.wikipedia.org/wiki/Piaggio (1884);2026
Skoda vs Honor;https://en.wikipedia.org/wiki/Skoda_Auto (1895); https://en.wikipedia.org/wiki/Honor_(brand) (2013);2026
